air_quality_annual_PM2p5,median_household_income,percent_diagnosed_diabetes,percent_EDU_less_col,percent_EDU_less_HS,percent_food_stamp,percent_high_BP,percent_high_chol,percent_obisity,percent_phys_inactivity,percent_poverty,percent_somker_status,unemployment_rate,distance,plant_capacity,nameplate_capacity_MW1,NOx_tons1,SO2_tons1,CO2_tons1,CH4_lbs1,N2O_lbs1,PM2.5_tons1,dist_from_county1,nameplate_capacity_MW2,NOx_tons2,SO2_tons2,CO2_tons2,CH4_lbs2,N2O_lbs2,PM2.5_tons2,dist_from_county2,nameplate_capacity_MW3,NOx_tons3,SO2_tons3,CO2_tons3,CH4_lbs3,N2O_lbs3,PM2.5_tons3,dist_from_county3,nameplate_capacity_MW4,NOx_tons4,SO2_tons4,CO2_tons4,CH4_lbs4,N2O_lbs4,PM2.5_tons4,dist_from_county4,nameplate_capacity_MW5,NOx_tons5,SO2_tons5,CO2_tons5,CH4_lbs5,N2O_lbs5,PM2.5_tons5,dist_from_county5,fuel_type1_Biomass,fuel_type1_Coal,fuel_type1_Gas,fuel_type1_Oil,fuel_type1_Other Fossil,fuel_type2_Biomass,fuel_type2_Coal,fuel_type2_Gas,fuel_type2_Oil,fuel_type2_Other Fossil,fuel_type3_Biomass,fuel_type3_Coal,fuel_type3_Gas,fuel_type3_Oil,fuel_type3_Other Fossil,fuel_type4_Biomass,fuel_type4_Coal,fuel_type4_Gas,fuel_type4_Oil,fuel_type4_Other Fossil,fuel_type5_Biomass,fuel_type5_Coal,fuel_type5_Gas,fuel_type5_Oil,fuel_type5_Other Fossil,cardio_death,total_cancer,bladder,brain,breast,breast_insitu,cervix,colon,esophagus,kidney and renal,leukemia,liver,lung,melanoma,non-hudgkin lymphoma,oral cavity,ovay,pancreas,prostate,stomach,thyroid,uteras,Rate_range,bladder_range,brain_range,breast_range,breast_insitu_range,cervix_range,colon_range,esophagus_range,kidney and renal_range,leukemia_range,liver_range,lung_range,melanoma_range,non-hudgkin lymphoma_range,oral cavity_range,ovay_range,pancreas_range,prostate_range,stomach_range,thyroid_range,uteras_range,Pediatric Asthma,Adult Asthma,COPD,Adult Chronic Lung Disease
5.7,90000,7.6,78.1,6.4,10.3,32.1,31.9,31.4,21.4,8.7,18.8,6.8,1610,1200,171,8738.37,10.1,369379.297,13933.599,1393.36,1.333555606,59,11.5,0,6.324,8.825,0.306,0.031,2.776095,70,418,860.026,8.675,317290.369,11968.741,1196.878,15.62396668,74,121.4,36.046,0.376,13297.998,505.487,51.141,0.637882306,75,46.3,1.862,0.019,680.236,25.66,2.566,0.031910606,79,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,155.5,418.7,28.7,6.7,111.6,28.8,5.6,30.8,0,14.7,7.9,0,48.4,13.3,12.9,9.2,7.8,14.6,90.6,7.1,5.6,25.4,37.9,11,5,27.3,13.6,6.3,15.4,0,10.5,7.7,0,18.3,9.8,9.6,8.6,7.5,11,24.4,7.8,5.9,12.2,0.029034687,0.085289394,0.044459365,0.143358769
9,68000,8.2,81.9,8.8,6.6,34.4,35.2,25.7,21.4,10.3,13.4,7,224,2323,5,214.904,0.256,9347.5,352.603,35.26,0.033746918,25,556.8,50.863,5.942,1158205.306,41088.275,4108.827,13.79958535,27,9,0,14.397,0,0,0,6.3175014,30,4.4,0,5.104,0,0,0,2.23952295,33,15,74.469,16.756,1.234,94565.557,12411.735,15.2893524,38,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,212,449.5,18.2,7.5,135.5,17.6,0,36.5,0,0,0,0,45.2,30.6,17.2,0,0,8,103,0,0,21.3,49.1,9.4,8.2,44.3,20.4,0,20.9,0,0,0,0,21,23.4,16.1,0,0,10.2,30.7,0,0,18.2,1.027867176,8.000898136,6.039967068,13.34979917
7.6,55000,7.4,71.7,10.3,12.8,29.3,29.9,32.5,20.7,17.3,14,6.9,311,2323,2.3,0,0.551,0,0,0,0.2419473,7,5.2,7.791,0.079,2880.042,108.64,10.864,0.135105909,12,7.7,1.017,0.001,44.23,1.668,0.167,0.000159677,12,49.5,10.333,0.076,15107.659,3516.873,351.687,0.274638333,37,47.3,52.99,0.522,19104.582,720.656,72.066,0.896216743,37,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,229.9,459.4,19.9,5.9,129.2,28.3,8.3,33.9,2.5,8.6,14.3,5.5,52.6,28.3,17.2,8.6,11.1,12.7,110.2,9.7,4.7,24.5,23.3,4.7,2.9,18.1,8.4,5.3,9.1,2.7,4.7,6.1,3.5,10.4,8.6,6.5,4.6,5.3,5.4,15.8,5.2,3.8,7.6,1.377242131,7.485992554,4.571691799,12.09387809
8,66000,7,80.2,10.3,10.3,35.8,36.1,26.8,15.5,11.6,13.3,5.7,207,2323,15,74.469,16.756,1.234,94565.557,12411.735,15.2893524,21,25,204.435,26.899,0.169,151815.446,19925.777,24.54533128,23,4.4,0,5.104,0,0,0,2.23952295,24,556.8,50.863,5.942,1158205.306,41088.275,4108.827,13.79958535,32,5,214.904,0.256,9347.5,352.603,35.26,0.033746918,39,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,204.4,408.1,24,8,113.6,14.3,0,31.4,0,12.2,10.1,0,46.3,24.8,13.4,0,11.1,8.4,95.6,0,0,26.7,44.7,10.3,8.2,35.6,12.7,0,17,0,14,12.2,0,19.9,19.5,13.3,0,13.3,9.2,27.4,0,0,19.2,1.153148484,7.836658893,6.128530707,13.382137
6.6,59000,7.2,85.1,27.2,6.3,28,29.8,23.9,19.2,10.3,13.8,12.5,284,2323,29.1,119.046,31.554,575.352,178017.65,23364.138,1.268979143,8,712.4,42.839,6.434,1274560.125,48010.851,4801.085,22.76313163,13,66,3.376,0.018,3657.822,147.283,14.728,0.021710431,30,636,30.669,1.456,288332.745,11133.373,1113.337,13.86774083,30,47.3,52.99,0.522,19104.582,720.656,72.066,0.896216743,32,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,207.2,395.5,15.3,0,113.2,0,0,47.1,0,0,0,0,53.3,0,0,0,0,0,73.2,0,0,0,74.9,15.5,0,56.6,0,0,39.4,0,0,0,0,39.7,0,0,0,0,0,45.4,0,0,0,1.841543742,6.865200854,4.077372669,11.59198441
8.1,106000,8.7,56.7,10.1,5,26.5,29.2,22.6,18,7.2,9.9,6.4,197,2323,3.8,0,5.115,0,0,0,2.24453565,6,3.5,19.632,0.204,7466.594,281.652,28.165,0.350265637,8,943.5,108.787,7.577,1500755.156,57704.419,5770.442,25.62763904,9,113.5,630.042,6.552,239628.506,9039.186,903.919,11.80097693,9,678.3,66.509,5.395,1068609.442,39041.057,3904.106,12.54094474,9,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,166.7,417.7,15.8,6.2,133.3,30,5.2,32.2,1.7,9.9,8.7,4.7,37.1,23.1,16.5,5.8,9.9,11.3,99.8,8.9,7.1,27.7,9.9,1.9,1.2,7.7,3.7,1.6,3.8,0.9,2.1,2.1,1.5,4,3.3,2.8,1.6,2.2,2.2,6.9,2.2,2,3.4,1.51588126,7.328697521,4.462685699,12.01510327
5.8,47000,7.7,84.6,20.3,17.3,32.8,32.5,22.2,20.2,18.5,17.2,7.6,399,1200,18.8,123.199,18.304,5068.429,102716.031,13475.504,17.56523435,67,269.4,4680.82,5.644,208023.418,7968.353,815.04,0.751018828,71,40,307.608,37.061,0.14,209167.992,27453.299,33.81800727,74,3.2,0,2.889,0,0,0,1.26772065,75,13.4,20.021,3.261,0.027,18403.282,2415.431,2.975423131,84,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,224.7,367.6,16.7,0,74.5,0,0,33.4,0,0,0,0,49.5,18,0,0,0,0,75,0,0,24,58.4,13.4,0,41.5,0,0,28.4,0,0,0,0,29.8,20.1,0,0,0,0,38.8,0,0,23.6,1.412328375,7.458524027,4.726830664,12.22826087
8.3,88000,7.3,64.8,6,5.6,30.5,32.9,24.9,16.1,8.4,11.3,5.7,247,2323,5,214.904,0.256,9347.5,352.603,35.26,0.033746918,31,9,0,14.397,0,0,0,6.3175014,41,31.2,11.778,1.063,598.668,48.486,9.697,1.136304697,42,32.2,28.965,6.831,0,38554.963,5060.339,6.233521337,43,27.9,108.887,32.404,2109.867,182636.107,23968.502,29.92725396,43,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,169,427.9,20.7,6.2,128.2,25.2,6.8,30.4,2.8,10.5,8.5,3.5,38.6,31,15.4,7.3,14.1,12.5,102.5,5.7,9.3,25.9,23.1,4.9,3.2,18.4,8.4,5.3,8.7,2.8,5.4,5.2,3,9.4,9.3,6.4,4.6,6.5,5.7,14.8,4.3,5.6,7.9,1.33782558,7.586367759,5.326940521,12.7329273
7.6,58000,7.6,85.6,25.5,11.5,29.4,30.9,24.4,18.7,12.4,15.2,6.9,315,2323,712.4,42.839,6.434,1274560.125,48010.851,4801.085,22.76313163,17,5.2,7.791,0.079,2880.042,108.64,10.864,0.135105909,32,2.3,0,0.551,0,0,0,0.2419473,36,29.1,119.046,31.554,575.352,178017.65,23364.138,1.268979143,37,46.4,167.808,0.198,7228.016,272.653,27.265,0.026095001,39,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,228.6,508.5,24.9,0,130.4,28.9,0,36.6,0,0,0,0,52.4,0,23.6,0,0,0,130.5,0,0,34.1,70.8,16.3,0,52.4,24.5,0,27.3,0,0,0,0,33.2,0,23.4,0,0,0,50.5,0,0,27.2,1.820881802,6.894600997,4.23929569,11.717286
6.1,56000,7.2,69.1,9.4,13.9,30,30.2,24,13.9,15.8,14.7,6.2,414,2323,18.8,123.199,18.304,5068.429,102716.031,13475.504,17.56523435,16,269.4,4680.82,5.644,208023.418,7968.353,815.04,0.751018828,16,32.5,170.021,33.272,630.941,176012.394,23105.142,28.53730489,19,183.1,5.149,0.58,114997.438,4337.301,433.73,2.122297044,79,30.2,54.329,10.849,90.519,61218.922,8034.877,9.914893327,85,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,262.1,436.8,22,5.4,110.2,19.1,9.7,31.1,0,11.1,7.9,4.1,49.6,30.5,15.6,8.6,11.4,10.6,90.6,8.7,6.7,27.9,29.4,6.6,3.7,21.4,9.5,7.2,11.5,0,6.9,6.2,4.3,13.5,11.9,8.1,6.3,7.2,6.4,18.5,6.4,6,10.6,1.28540418,7.616853242,4.717840817,12.24060395
