FIPS,State,Rate,bladder,brain,breast,breast_insitu,cervix,colon,esophagus,kidney and renal,leukemia,liver,lung,melanoma,non-hudgkin lymphoma,oral cavity,ovay,pancreas,prostate,stomach,thyroid,uteras,Rate_range,bladder_range,brain_range,breast_range,breast_insitu_range,cervix_range,colon_range,esophagus_range,kidney and renal_range,leukemia_range,liver_range,lung_range,melanoma_range,non-hudgkin lymphoma_range,oral cavity_range,ovay_range,pancreas_range,prostate_range,stomach_range,thyroid_range,uteras_range
0,US (SEER+NPCR),449.4,19.4,6.4,128.1,29.4,7.7,33,1.8,12,11,4.8,50.3,18.3,15.7,6.5,10.4,11.6,109.9,8.5,7.2,27.7,0.6,0.1,0.1,0.4,0.2,0.2,0.3,0.1,0.2,0.1,0.1,0.3,0.2,0.2,0.1,0.1,0.1,0.5,0.1,0.1,0.3
12125,"Union County, Florida",1204,42.7,0,195.3,0,0,0,0,0,0,0,102.2,0,0,0,0,0,301.1,23.4,0,0,146,29.1,0,112.3,0,0,0,0,0,0,0,75.4,0,0,0,0,0,92.4,26.7,0,0
19147,"Palo Alto County, Iowa",659.2,27.9,0,148.6,0,0,0,0,0,0,0,78.8,0,0,0,0,0,187.5,0,0,0,138.5,29.5,0,97.6,0,0,0,0,0,0,0,63.6,0,0,0,0,0,100.9,0,0,0
31009,"Blaine County, Nebraska",636.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21071,"Floyd County, Kentucky",620.5,19.2,7.2,144.9,25.2,20.3,60.9,0,19.4,17.1,0,129.7,22.7,18.3,0,0,13.9,103.6,0,15.8,34,66.7,12,7.9,46,19.5,20.3,29.4,0,17.4,17.4,0,39.9,19.6,16.8,0,0,15.3,38.5,0,17.7,22.1
21197,"Powell County, Kentucky",618.7,25.1,0,128.2,0,0,50.9,0,0,0,0,105.1,0,0,0,0,0,85.9,0,0,0,119.5,24.9,0,78.6,0,0,51.8,0,0,0,0,67.8,0,0,0,0,0,65.8,0,0,0
48373,"Polk County, Texas",616,32.9,6,157.5,18.4,16.2,48.8,0,19.8,15.2,0,86.4,17.9,16,9.6,14.7,15,141.3,12.4,0,20.3,58,13.7,6.3,42.7,15.2,16.8,24.5,0,15.7,14.4,0,30.9,16.6,14.5,10.6,14.6,14.3,37.6,13.8,0,17.2
30079,"Prairie County, Montana",616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31113,"Logan County, Nebraska",611.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30103,"Treasure County, Montana",605.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
