latitude,longitude,GEOID,County_x,nameplate_capacity_MW1,NOx_tons1,SO2_tons1,CO2_tons1,CH4_lbs1,N2O_lbs1,PM2.5_tons1,dist_from_county1,nameplate_capacity_MW2,NOx_tons2,SO2_tons2,CO2_tons2,CH4_lbs2,N2O_lbs2,PM2.5_tons2,dist_from_county2,nameplate_capacity_MW3,NOx_tons3,SO2_tons3,CO2_tons3,CH4_lbs3,N2O_lbs3,PM2.5_tons3,dist_from_county3,nameplate_capacity_MW4,NOx_tons4,SO2_tons4,CO2_tons4,CH4_lbs4,N2O_lbs4,PM2.5_tons4,dist_from_county4,nameplate_capacity_MW5,NOx_tons5,SO2_tons5,CO2_tons5,CH4_lbs5,N2O_lbs5,PM2.5_tons5,dist_from_county5,fuel_type1_Biomass,fuel_type1_Coal,fuel_type1_Gas,fuel_type1_Oil,fuel_type1_Other Fossil,fuel_type2_Biomass,fuel_type2_Coal,fuel_type2_Gas,fuel_type2_Oil,fuel_type2_Other Fossil,fuel_type3_Biomass,fuel_type3_Coal,fuel_type3_Gas,fuel_type3_Oil,fuel_type3_Other Fossil,fuel_type4_Biomass,fuel_type4_Coal,fuel_type4_Gas,fuel_type4_Oil,fuel_type4_Other Fossil,fuel_type5_Biomass,fuel_type5_Coal,fuel_type5_Gas,fuel_type5_Oil,fuel_type5_Other Fossil,County_y,cardio_death,total_cancer,bladder,brain,breast,breast_insitu,cervix,colon,esophagus,kidney_and_renal,leukemia,liver,lung,melanoma,non-hodgkins_lymphoma,oral_cavity,ovary,pancreas,prostate,stomach,thyroid,uterus,Total Population,pediatric_asthma,adult_asthma,COPD,adult_chronic_lung_disease,pediatric_asthma_per_100k,adult_asthma_per_100k,COPD_per_100k,cardio_death_per_100k,adult_chronic_lung_disease_per_100k,NOx_norm1,NOx_norm2,NOx_norm3,NOx_norm4,NOx_norm5,SO2_norm1,CO2_norm1,CH4_norm1,N2O_norm1,PM2.5_norm1,SO2_norm2,CO2_norm2,CH4_norm2,N2O_norm2,PM2.5_norm2,SO2_norm3,CO2_norm3,CH4_norm3,N2O_norm3,PM2.5_norm3,SO2_norm4,CO2_norm4,CH4_norm4,N2O_norm4,PM2.5_norm4,SO2_norm5,CO2_norm5,CH4_norm5,N2O_norm5,PM2.5_norm5
32.5349201866,-86.642749235,01001,Autauga County,939.4,50.521,3.849,762545.203,28447.358,2844.736,36.93002202,10.0,927.1,181.543,11.492,2276467.875,78581.774,7858.177,110.2532064,10.0,2534.0,154.544,9.199,1822321.0,68380.397,6838.04,60.09704487,11.0,89.8,135.009,604.874,0.0,53895.54,14292.48,8.436992401,13.0,104.2,367.256,2.531,0.0,16303.841,9009.438,1.220168551,15.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,"Autauga, Alabama",263.9,506.4,15.8,7.0,124.4,23.9,0.0,45.8,0.0,10.6,0.0,0.0,58.6,28.2,10.7,0.0,12.9,9.7,158.0,0.0,0.0,25.5,56145.0,1718.0,3906.0,4274.0,8657.0,3059.9340992074094,6956.986374565856,7612.432095467094,470.03295039629523,15419.00436370113,0.05378007238662977,0.19581814259518932,0.060988161010260465,1.5034409799554564,3.524529750479846,0.0040972961464764745,811.736430700447,30.282476048541625,3.0282478177560144,0.03931235045773899,0.012395642325531227,2455.471766799698,84.76083917592493,8.476083486139574,0.11892266896774889,0.0036302288871349645,719.1479873717443,26.985160615627464,2.698516179952644,0.023716276586424626,6.735790645879733,0.0,600.1730512249444,159.15902004454344,0.09395314477728285,0.024289827255278312,0.0,156.46680422264876,86.46293666026871,0.011709870930902111
30.6609696648,-87.7498400784,01003,Baldwin County,50.0,450.864,4.58,167490.328,6318.013,631.801,7.857154046,19.0,280.0,41.54,2.432,481808.75,17945.081,1794.508,23.33477483,19.0,109.2,21.784,0.077,15188.359,572.93,57.293,1.221106354,19.0,4.8,0.0,4.323,0.0,0.0,0.0,1.89708645,22.0,317.4,35.096,2.719,538661.787,16687.381,1668.738,72.58803513,24.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,"Baldwin, Alabama",241.9,455.7,23.1,6.5,124.7,25.5,11.0,33.3,0.0,11.6,12.7,3.5,55.9,28.1,14.8,8.2,11.8,10.0,91.8,8.1,3.8,17.6,229287.0,6393.0,16246.0,19461.0,36546.0,2788.2086642504805,7085.443134586784,8487.615957293698,105.50096603819668,15938.976043124992,9.01728,0.14835714285714285,0.19948717948717948,0.0,0.11057340894770006,0.0916,3349.80656,126.36026,12.63602,0.15714308091999998,0.008685714285714286,1720.7455357142858,64.089575,6.408957142857143,0.08333848153571428,0.0007051282051282051,139.08753663003662,5.246611721611721,0.5246611721611721,0.011182292619047619,0.9006250000000001,0.0,0.0,0.0,0.39522634375,0.008566477630749842,1697.1070793950853,52.57523944549465,5.2575236294896035,0.22869576285444235
31.8696032448,-85.3931969755,01005,Barbour County,120.5,312.818,0.59,0.0,134642.958,24655.8,1.386006396,30.0,13.6,18.862,1.79,1008.21,81.655,16.331,1.913629905,42.0,3.6,2.315,0.003,51.604,4.237,0.424,0.013701338,45.0,103.0,19.517,0.034,6588.915,247.637,24.764,0.440548293,51.0,101.2,350.852,888.835,62961.826,80929.295,16646.007,16.74695821,52.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,"Barbour, Alabama",351.2,447.2,13.3,0.0,109.5,22.6,0.0,41.9,0.0,0.0,0.0,0.0,40.1,24.9,0.0,0.0,0.0,0.0,162.6,0.0,0.0,22.7,24589.0,664.0,1760.0,2001.0,3855.0,2700.3944853389726,7157.672129814146,8137.785188498922,1428.2809386310953,15677.742079791777,2.596,1.3869117647058822,0.6430555555555555,0.18948543689320388,3.4669169960474306,0.004896265560165975,0.0,1117.3689460580913,204.6124481327801,0.011502127767634854,0.13161764705882353,74.13308823529412,6.004044117647059,1.2008088235294117,0.14070808125,0.0008333333333333333,14.334444444444443,1.1769444444444443,0.11777777777777777,0.003805927222222222,0.0003300970873786408,63.97004854368932,2.4042427184466018,0.2404271844660194,0.004277167893203883,8.782954545454546,622.1524308300395,799.6965909090909,164.4862351778656,0.1654837767786561
32.9986442965,-87.1264391014,01007,Bibb County,13.0,16.113,2.219,0.011,12526.086,1644.049,0.0,31.0,939.4,50.521,3.849,762545.203,28447.358,2844.736,36.93002202,33.0,927.1,181.543,11.492,2276467.875,78581.774,7858.177,110.2532064,33.0,104.2,367.256,2.531,0.0,16303.841,9009.438,1.220168551,42.0,2034.0,3462.81,1149.051,5283997.438,768776.092,108753.017,215.8821669,42.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,"Bibb, Alabama",323.6,466.1,19.8,0.0,113.9,0.0,0.0,26.4,0.0,0.0,0.0,0.0,61.9,0.0,0.0,0.0,0.0,0.0,112.1,0.0,0.0,25.3,22136.0,584.0,1603.0,1754.0,3433.0,2638.236357065414,7241.597397903866,7923.744127213589,1461.8720636067944,15508.673653776654,1.2394615384615384,0.05378007238662977,0.19581814259518932,3.524529750479846,1.7024631268436579,0.17069230769230767,0.0008461538461538461,963.5450769230769,126.46530769230769,0.0,0.0040972961464764745,811.736430700447,30.282476048541625,3.0282478177560144,0.03931235045773899,0.012395642325531227,2455.471766799698,84.76083917592493,8.476083486139574,0.11892266896774889,0.024289827255278312,0.0,156.46680422264876,86.46293666026871,0.011709870930902111,0.5649218289085546,2597.8355152409044,377.962680432645,53.46755998033432,0.10613675855457226
33.9808673856,-86.5673709608,01009,Blount County,3.8,2.197,0.009,1006.565,37.975,3.79,0.154236512,30.0,138.0,136.388,2.957,131425.54,3801.827,380.183,6.707269821,34.0,2822.0,6807.229,965.96,20965151.5,4419705.464,642612.857,135.9824197,37.0,1416.7,490.525,142.687,598479.725,117468.333,17090.854,89.24702673,43.0,748.0,60.07,1.062,209853.617,8101.532,831.828,13.75522584,44.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,"Blount, Alabama",283.6,438.7,17.4,6.7,113.6,21.6,0.0,34.4,0.0,11.2,0.0,0.0,49.8,16.5,16.1,0.0,14.1,11.5,96.9,0.0,9.4,23.5,57879.0,1742.0,4028.0,4638.0,9075.0,3009.727189481505,6959.346222291332,8013.269061317576,489.9877330292507,15679.26190846421,0.5781578947368422,0.9883188405797102,2.4122002126151667,0.3462447942401355,0.08030748663101604,0.0023684210526315787,264.8855263157895,9.99342105263158,0.9973684210526317,0.040588555789473686,0.021427536231884058,952.3589855072464,27.549471014492756,2.7549492753623186,0.048603404499999996,0.3422962437987243,7429.181963146704,1566.1606888731394,227.7153993621545,0.048186541353649893,0.10071786546198913,422.4463365567869,82.91687230888685,12.063848380038117,0.06299641895249523,0.0014197860962566846,280.5529639037433,10.83092513368984,1.1120695187165774,0.018389339358288768
32.1005542205,-85.7156972254,01011,Bullock County,120.5,312.818,0.59,0.0,134642.958,24655.8,1.386006396,41.0,3.6,2.315,0.003,51.604,4.237,0.424,0.013701338,48.0,89.8,135.009,604.874,0.0,53895.54,14292.48,8.436992401,49.0,2683.8,366.459,25.816,5113785.062,193812.953,19381.295,196.1363191,50.0,97.0,25.606,0.535,106055.818,4535.493,453.549,12.45178512,50.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"Bullock, Alabama",311.5,475.2,0.0,0.0,164.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.6,0.0,0.0,0.0,0.0,0.0,151.2,0.0,0.0,0.0,9976.0,274.0,714.0,781.0,1544.0,2746.5918203688852,7157.177225340817,7828.789093825181,3122.493985565357,15477.145148356056,2.596,0.6430555555555555,1.5034409799554564,0.13654482450257097,0.26397938144329897,0.004896265560165975,0.0,1117.3689460580913,204.6124481327801,0.011502127767634854,0.0008333333333333333,14.334444444444443,1.1769444444444443,0.11777777777777777,0.003805927222222222,6.735790645879733,0.0,600.1730512249444,159.15902004454344,0.09395314477728285,0.009619196661450181,1905.4270295849167,72.21587040763097,7.221586928981294,0.07308157057157762,0.005515463917525773,1093.3589484536083,46.75765979381444,4.675762886597938,0.1283689187628866
31.7524339429,-86.6802892154,01013,Butler County,654.0,206.739,7.842,1556055.312,59881.991,5993.281,79.78062079,27.0,97.0,25.606,0.535,106055.818,4535.493,453.549,12.45178512,40.0,2534.0,154.544,9.199,1822321.0,68380.397,6838.04,60.09704487,44.0,89.8,135.009,604.874,0.0,53895.54,14292.48,8.436992401,48.0,104.2,367.256,2.531,0.0,16303.841,9009.438,1.220168551,48.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,"Butler, Alabama",311.9,448.8,12.8,0.0,154.5,0.0,0.0,36.3,0.0,0.0,0.0,0.0,40.3,0.0,0.0,0.0,0.0,0.0,143.8,0.0,0.0,24.6,19504.0,568.0,1365.0,1610.0,3085.0,2912.223133716161,6998.56439704676,8254.716981132075,1599.1591468416736,15817.26825266612,0.31611467889908257,0.26397938144329897,0.060988161010260465,1.5034409799554564,3.524529750479846,0.011990825688073393,2379.2894678899083,91.56267737003058,9.164038226299693,0.12198871680428135,0.005515463917525773,1093.3589484536083,46.75765979381444,4.675762886597938,0.1283689187628866,0.0036302288871349645,719.1479873717443,26.985160615627464,2.698516179952644,0.023716276586424626,6.735790645879733,0.0,600.1730512249444,159.15902004454344,0.09395314477728285,0.024289827255278312,0.0,156.46680422264876,86.46293666026871,0.011709870930902111
33.7714324565,-85.8260308543,01015,Calhoun County,748.0,60.07,1.062,209853.617,8101.532,831.828,13.75522584,15.0,138.0,136.388,2.957,131425.54,3801.827,380.183,6.707269821,19.0,570.0,213.35,2.036,403263.156,15041.017,1504.102,26.51673212,34.0,4.8,0.0,6.48,0.0,0.0,0.0,2.843266707,40.0,55.4,45.154,178.191,13620.879,4874.408,2958.45,0.961595013,43.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,"Calhoun, Alabama",370.3,485.9,20.3,5.0,117.1,21.9,12.4,43.4,0.0,15.6,11.1,7.0,63.2,13.8,12.1,7.4,9.9,13.6,138.7,6.9,0.0,21.0,113469.0,3205.0,8050.0,9006.0,17671.0,2824.560011985652,7094.448704051328,7936.969568780901,326.34464038636105,15573.416527862235,0.08030748663101604,0.9883188405797102,0.3742982456140351,0.0,0.8150541516245489,0.0014197860962566846,280.5529639037433,10.83092513368984,1.1120695187165774,0.018389339358288768,0.021427536231884058,952.3589855072464,27.549471014492756,2.7549492753623186,0.048603404499999996,0.0035719298245614037,707.4792210526316,26.387749122807016,2.6387754385964914,0.046520582666666664,1.35,0.0,0.0,0.0,0.592347230625,3.2164440433213,245.86424187725635,87.98570397111914,53.40162454873646,0.017357310703971122
32.9143722298,-85.3920429513,01017,Chambers County,2683.8,366.459,25.816,5113785.062,193812.953,19381.295,196.1363191,27.0,822.8,136.114,10.615,2102571.812,81348.163,8134.816,101.8305345,30.0,103.0,19.517,0.034,6588.915,247.637,24.764,0.440548293,33.0,495.0,150.515,1.911,378643.484,13938.282,1393.828,27.91283601,38.0,1099.2,23.586,0.452,79106.424,3119.253,328.792,2.170367595,38.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,"Chambers, Alabama",269.2,500.1,20.2,0.0,116.2,18.1,0.0,31.6,0.0,15.6,0.0,0.0,43.3,0.0,16.3,0.0,0.0,0.0,144.0,0.0,0.0,27.1,32865.0,890.0,2351.0,2759.0,5210.0,2708.048075460216,7153.506770120188,8394.94903392667,819.1084740605507,15852.730868705308,0.13654482450257097,0.16542780748663102,0.18948543689320388,0.30407070707070705,0.021457423580786023,0.009619196661450181,1905.4270295849167,72.21587040763097,7.221586928981294,0.07308157057157762,0.012901069518716578,2555.386256684492,98.86748055420516,9.886747690811863,0.12376098018959651,0.0003300970873786408,63.97004854368932,2.4042427184466018,0.2404271844660194,0.004277167893203883,0.0038606060606060605,764.9363313131313,28.15814545454545,2.8158141414141413,0.0563895676969697,0.00041120815138282385,71.96727074235808,2.837748362445415,0.29911935953420665,0.0019744974481441047
34.1759559677,-85.6037937156,01019,Cherokee County,953.0,212.394,24.995,177236.078,37559.146,5471.494,5.753610903,16.0,77.9,206.044,497.718,33305.693,58609.359,12173.29,15.43319089,17.0,4.8,0.0,6.48,0.0,0.0,0.0,2.843266707,19.0,570.0,213.35,2.036,403263.156,15041.017,1504.102,26.51673212,24.0,138.0,136.388,2.957,131425.54,3801.827,380.183,6.707269821,24.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"Cherokee, Alabama",279.3,402.8,19.2,0.0,83.9,0.0,0.0,41.3,0.0,0.0,0.0,0.0,50.6,0.0,0.0,0.0,0.0,0.0,78.1,0.0,0.0,18.4,26294.0,642.0,1920.0,2405.0,4283.0,2441.621662736746,7302.046094165969,9146.573362744351,1062.219517760706,16288.887198600441,0.2228688352570829,2.6449807445442874,0.0,0.3742982456140351,0.9883188405797102,0.026227701993704094,185.97699685204617,39.41148583420777,5.741336831059811,0.006037367159496328,6.389191270860077,427.54419768934525,752.3666110397945,156.2681643132221,0.19811541578947367,1.35,0.0,0.0,0.0,0.592347230625,0.0035719298245614037,707.4792210526316,26.387749122807016,2.6387754385964914,0.046520582666666664,0.021427536231884058,952.3589855072464,27.549471014492756,2.7549492753623186,0.048603404499999996
