FIPS,County,cardio_death,total_cancer,bladder,brain,breast,breast_insitu,cervix,colon,esophagus,kidney_and_renal,leukemia,liver,lung,melanoma,non-hodgkins_lymphoma,oral_cavity,ovary,pancreas,prostate,stomach,thyroid,uterus,Total Population,pediatric_asthma,adult_asthma,COPD,adult_chronic_lung_disease,lung_cancer,pediatric_asthma_per_100k,adult_asthma_per_100k,COPD_per_100k,cardio_death_per_100k,adult_chronic_lung_disease_per_100k
01001,"Autauga, Alabama",263.9,506.4,15.8,7.0,124.4,23.9,0.0,45.8,0.0,10.6,0.0,0.0,58.6,28.2,10.7,0.0,12.9,9.7,158.0,0.0,0.0,25.5,56145.0,1718.0,3906.0,4274.0,8657.0,35.0,3059.9340992074094,6956.986374565856,7612.432095467094,470.03295039629523,15419.00436370113
01003,"Baldwin, Alabama",241.9,455.7,23.1,6.5,124.7,25.5,11.0,33.3,0.0,11.6,12.7,3.5,55.9,28.1,14.8,8.2,11.8,10.0,91.8,8.1,3.8,17.6,229287.0,6393.0,16246.0,19461.0,36546.0,143.0,2788.2086642504805,7085.443134586784,8487.615957293698,105.50096603819668,15938.976043124992
01005,"Barbour, Alabama",351.2,447.2,13.3,0.0,109.5,22.6,0.0,41.9,0.0,0.0,0.0,0.0,40.1,24.9,0.0,0.0,0.0,0.0,162.6,0.0,0.0,22.7,24589.0,664.0,1760.0,2001.0,3855.0,16.0,2700.3944853389726,7157.672129814146,8137.785188498922,1428.2809386310953,15677.742079791777
01007,"Bibb, Alabama",323.6,466.1,19.8,0.0,113.9,0.0,0.0,26.4,0.0,0.0,0.0,0.0,61.9,0.0,0.0,0.0,0.0,0.0,112.1,0.0,0.0,25.3,22136.0,584.0,1603.0,1754.0,3433.0,14.0,2638.236357065414,7241.597397903866,7923.744127213589,1461.8720636067944,15508.673653776654
01009,"Blount, Alabama",283.6,438.7,17.4,6.7,113.6,21.6,0.0,34.4,0.0,11.2,0.0,0.0,49.8,16.5,16.1,0.0,14.1,11.5,96.9,0.0,9.4,23.5,57879.0,1742.0,4028.0,4638.0,9075.0,36.0,3009.727189481505,6959.346222291332,8013.269061317576,489.9877330292507,15679.26190846421
01011,"Bullock, Alabama",311.5,475.2,0.0,0.0,164.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.6,0.0,0.0,0.0,0.0,0.0,151.2,0.0,0.0,0.0,9976.0,274.0,714.0,781.0,1544.0,6.0,2746.5918203688852,7157.177225340817,7828.789093825181,3122.493985565357,15477.145148356056
01013,"Butler, Alabama",311.9,448.8,12.8,0.0,154.5,0.0,0.0,36.3,0.0,0.0,0.0,0.0,40.3,0.0,0.0,0.0,0.0,0.0,143.8,0.0,0.0,24.6,19504.0,568.0,1365.0,1610.0,3085.0,12.0,2912.223133716161,6998.56439704676,8254.716981132075,1599.1591468416736,15817.26825266612
01015,"Calhoun, Alabama",370.3,485.9,20.3,5.0,117.1,21.9,12.4,43.4,0.0,15.6,11.1,7.0,63.2,13.8,12.1,7.4,9.9,13.6,138.7,6.9,0.0,21.0,113469.0,3205.0,8050.0,9006.0,17671.0,71.0,2824.560011985652,7094.448704051328,7936.969568780901,326.34464038636105,15573.416527862235
01017,"Chambers, Alabama",269.2,500.1,20.2,0.0,116.2,18.1,0.0,31.6,0.0,15.6,0.0,0.0,43.3,0.0,16.3,0.0,0.0,0.0,144.0,0.0,0.0,27.1,32865.0,890.0,2351.0,2759.0,5210.0,20.0,2708.048075460216,7153.506770120188,8394.94903392667,819.1084740605507,15852.730868705308
01019,"Cherokee, Alabama",279.3,402.8,19.2,0.0,83.9,0.0,0.0,41.3,0.0,0.0,0.0,0.0,50.6,0.0,0.0,0.0,0.0,0.0,78.1,0.0,0.0,18.4,26294.0,642.0,1920.0,2405.0,4283.0,16.0,2441.621662736746,7302.046094165969,9146.573362744351,1062.219517760706,16288.887198600441
01021,"Chilton, Alabama",308.5,414.7,20.4,0.0,99.0,25.5,13.3,42.1,0.0,16.0,0.0,0.0,55.0,13.6,11.3,0.0,0.0,0.0,108.7,0.0,0.0,20.6,44397.0,1392.0,3058.0,3442.0,6898.0,28.0,3135.34698290425,6887.852782845688,7752.776088474446,694.866770277271,15537.085839133275
01023,"Choctaw, Alabama",337.9,414.2,15.2,0.0,117.4,0.0,0.0,30.5,0.0,0.0,0.0,0.0,27.8,0.0,0.0,0.0,0.0,0.0,164.3,0.0,0.0,0.0,12418.0,323.0,893.0,1112.0,2012.0,8.0,2601.062973103559,7191.1741021098405,8954.743114833307,2721.0500885810916,16202.287002737961
01025,"Clarke, Alabama",288.8,483.3,14.3,0.0,158.4,0.0,0.0,56.0,0.0,0.0,0.0,0.0,42.5,20.8,0.0,0.0,0.0,16.5,137.8,0.0,0.0,17.0,23291.0,654.0,1649.0,1948.0,3694.0,14.0,2807.951569275686,7079.987978189,8363.745652827272,1239.9639345670003,15860.203512086213
01027,"Clay, Alabama",327.5,492.0,26.2,0.0,151.1,0.0,0.0,63.8,0.0,0.0,0.0,0.0,71.7,0.0,0.0,0.0,0.0,0.0,121.7,0.0,0.0,0.0,13112.0,352.0,939.0,1126.0,2095.0,8.0,2684.5637583892617,7161.378889566809,8587.553386211104,2497.7120195241,15977.730323367909
01029,"Cleburne, Alabama",340.8,419.2,16.8,0.0,107.1,0.0,0.0,35.6,0.0,0.0,0.0,0.0,52.1,0.0,0.0,0.0,0.0,0.0,105.1,0.0,0.0,0.0,14967.0,451.0,1039.0,1233.0,2370.0,9.0,3013.2959176855748,6941.938932317767,8238.123872519544,2277.0094207255966,15834.83664060934
