cnty_fips,display_name,Value
0,US,216.3
2013,"""Aleutians East, (AK)""",95.1
2016,"""Aleutians West, (AK)""",89.8
2020,"""Anchorage, (AK)""",177
2050,"""Bethel, (AK)""",263.4
2060,"""Bristol Bay, (AK)""",-1
2068,"""Denali, (AK)""",172.5
2070,"""Dillingham, (AK)""",273.5
2090,"""Fairbanks North Star, (AK)""",209
2100,"""Haines, (AK)""",152.4
2105,"""Hoonah-Angoon, (AK)""",154.1
2110,"""Juneau, (AK)""",154.3
2122,"""Kenai Peninsula, (AK)""",182.7
2130,"""Ketchikan Gateway, (AK)""",196.1
2150,"""Kodiak Island, (AK)""",184
2164,"""Lake and Peninsula, (AK)""",187.9
2170,"""Matanuska-Susitna, (AK)""",155.5
2180,"""Nome, (AK)""",310
2185,"""North Slope, (AK)""",170.3
2188,"""Northwest Arctic, (AK)""",272.9
2195,"""Petersburg, (AK)""",152.9
2198,"""Prince of Wales-Hyder, (AK)""",204.8
2220,"""Sitka, (AK)""",136.1
2230,"""Skagway, (AK)""",-1
2240,"""Southeast Fairbanks, (AK)""",192.6
2261,"""Valdez-Cordova, (AK)""",171.2
2158,"""Kusilvak, (AK)""",15.1
2275,"""Wrangell, (AK)""",187.3
2282,"""Yakutat, (AK)""",-1
2290,"""Yukon-Koyukuk, (AK)""",207.9
6001,"""Alameda, (CA)""",169.6
6005,"""Amador, (CA)""",212
6007,"""Butte, (CA)""",229.9
6009,"""Calaveras, (CA)""",204.4
6011,"""Colusa, (CA)""",207.2
6013,"""Contra Costa, (CA)""",166.7
6015,"""Del Norte, (CA)""",224.7
6017,"""El Dorado, (CA)""",169
6021,"""Glenn, (CA)""",228.6
6023,"""Humboldt, (CA)""",262.1
6031,"""Kings, (CA)""",224.4
6033,"""Lake, (CA)""",212.8
6035,"""Lassen, (CA)""",228
6041,"""Marin, (CA)""",122.2
6043,"""Mariposa, (CA)""",220.1
6045,"""Mendocino, (CA)""",193.2
6047,"""Merced, (CA)""",213.7
6049,"""Modoc, (CA)""",240
6053,"""Monterey, (CA)""",153.1
6055,"""Napa, (CA)""",177.6
6057,"""Nevada, (CA)""",181.2
6061,"""Placer, (CA)""",174.5
6063,"""Plumas, (CA)""",216
6067,"""Sacramento, (CA)""",213.8
6069,"""San Benito, (CA)""",177.1
6075,"""San Francisco, (CA)""",152.7
6077,"""San Joaquin, (CA)""",223.7
6079,"""San Luis Obispo, (CA)""",192.1
6081,"""San Mateo, (CA)""",150.9
6083,"""Santa Barbara, (CA)""",178.2
