FIPS,State,Rate,bladder,brain,breast,breast_insitu,cervix,colon,esophagus,kidney and renal,leukemia,liver,lung,melanoma,non-hudgkin lymphoma,oral cavity,ovay,pancreas,prostate,stomach,thyroid,uteras,Rate_range,bladder_range,brain_range,breast_range,breast_insitu_range,cervix_range,colon_range,esophagus_range,kidney and renal_range,leukemia_range,liver_range,lung_range,melanoma_range,non-hudgkin lymphoma_range,oral cavity_range,ovay_range,pancreas_range,prostate_range,stomach_range,thyroid_range,uteras_range
0,US (SEER+NPCR),449.4,19.4,6.4,128.1,29.4,7.7,33.0,1.8,12.0,11.0,4.8,50.3,18.3,15.7,6.5,10.4,11.6,109.9,8.5,7.2,27.7,0.5999999999999659,0.09999999999999787,0.09999999999999964,0.4000000000000057,0.1999999999999993,0.20000000000000018,0.30000000000000426,0.10000000000000009,0.1999999999999993,0.09999999999999964,0.09999999999999964,0.29999999999999716,0.1999999999999993,0.20000000000000107,0.09999999999999964,0.09999999999999964,0.09999999999999964,0.5,0.09999999999999964,0.09999999999999964,0.3000000000000007
12125,"Union County, Florida",1204.0,42.7,0.0,195.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.2,0.0,0.0,0.0,0.0,0.0,301.1,23.4,0.0,0.0,146.0,29.1,0.0,112.29999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.39999999999999,0.0,0.0,0.0,0.0,0.0,92.40000000000003,26.7,0.0,0.0
19147,"Palo Alto County, Iowa",659.2,27.9,0.0,148.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.8,0.0,0.0,0.0,0.0,0.0,187.5,0.0,0.0,0.0,138.5,29.499999999999996,0.0,97.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.599999999999994,0.0,0.0,0.0,0.0,0.0,100.9,0.0,0.0,0.0
31009,"Blaine County, Nebraska",636.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21071,"Floyd County, Kentucky",620.5,19.2,7.2,144.9,25.2,20.3,60.9,0.0,19.4,17.1,0.0,129.7,22.7,18.3,0.0,0.0,13.9,103.6,0.0,15.8,34.0,66.70000000000005,11.999999999999998,7.9,46.000000000000014,19.5,20.300000000000004,29.4,0.0,17.400000000000002,17.4,0.0,39.900000000000006,19.6,16.799999999999997,0.0,0.0,15.299999999999999,38.5,0.0,17.7,22.1
21197,"Powell County, Kentucky",618.7,25.1,0.0,128.2,0.0,0.0,50.9,0.0,0.0,0.0,0.0,105.1,0.0,0.0,0.0,0.0,0.0,85.9,0.0,0.0,0.0,119.5,24.9,0.0,78.6,0.0,0.0,51.8,0.0,0.0,0.0,0.0,67.80000000000001,0.0,0.0,0.0,0.0,0.0,65.80000000000001,0.0,0.0,0.0
48373,"Polk County, Texas",616.0,32.9,6.0,157.5,18.4,16.2,48.8,0.0,19.8,15.2,0.0,86.4,17.9,16.0,9.6,14.7,15.0,141.3,12.4,0.0,20.3,58.0,13.699999999999996,6.300000000000001,42.69999999999999,15.200000000000001,16.8,24.5,0.0,15.7,14.4,0.0,30.900000000000006,16.6,14.500000000000002,10.6,14.599999999999998,14.3,37.599999999999994,13.799999999999999,0.0,17.200000000000003
30079,"Prairie County, Montana",616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31113,"Logan County, Nebraska",611.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30103,"Treasure County, Montana",605.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
