Incidence Rate Report for United States by County

"Bladder (All Stages^), 2015-2019"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

State, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,19.4 ,19.3, 19.4,N/A , N/A , N/A,75642,falling,-2.7 ,-3.4, -2.0
"Bracken County, Kentucky(7)",21023,47.3 ,30.2, 71.2,N/A , 1 , 74,5,*,*,*,*
"Montmorency County, Michigan(6)",26119,45.5 ,30.3, 67.5,N/A , 1 , 39,8,stable,-0.3 ,-4.1, 3.7
"Union County, Florida(6)",12125,42.7 ,30.1, 59.2,N/A , 1 , 9,8,stable,0.6 ,-2.8, 4.1
"Hamilton County, New York(7)",36041,39.6 ,23.9, 69.6,N/A , 1 , 61,4,stable,2.7 ,-1.1, 6.5
"Trigg County, Kentucky(7)",21221,39.5 ,28.3, 54.3,N/A , 1 , 53,9,rising,3.3 ,0.7, 6.0
"Ringgold County, Iowa(7)",19159,37.1 ,20.9, 64.1,N/A , 1 , 79,3,*,*,*,*
"Sullivan County, Pennsylvania(6)",42113,36.1 ,20.1, 63.1,N/A , 1 , 65,4,*,*,*,*
"Fulton County, New York(7)",36035,35.9 ,30, 42.7,N/A , 1 , 27,28,stable,0.2 ,-1.2, 1.5
"Lee County, Kentucky(7)",21129,35.9 ,20.5, 59.4,N/A , 1 , 99,3,*,*,*,*
"Box Butte County, Nebraska(6)",31013,34.7 ,22.4, 52.2,N/A , 1 , 21,5,*,*,*,*
"Woodford County, Kentucky(7)",21239,34.6 ,26.1, 45.1,N/A , 1 , 60,12,rising,3.8 ,1.4, 6.3
"Clay County, Kentucky(7)",21051,34.5 ,24.6, 47.2,N/A , 1 , 75,8,rising,4.9 ,1.3, 8.7
"Boise County, Idaho(7)",16015,34.3 ,20.4, 56.9,N/A , 1 , 25,4,*,*,*,*
"Hancock County, Tennessee(6)",47067,34.3 ,19.2, 57.9,N/A , 1 , 85,3,*,*,*,*
"Mercer County, Kentucky(7)",21167,34.2 ,25.2, 45.7,N/A , 1 , 74,10,rising,4.7 ,1.4, 8.2
"Runnels County, Texas(7)",48399,34 ,22.4, 50.6,N/A , 1 , 93,5,*,*,*,*
"Iron County, Missouri(6)",29093,33.8 ,22.2, 50.5,N/A , 1 , 70,6,*,*,*,*
"Wexford County, Michigan(6)",26165,33.6 ,26.3, 42.5,N/A , 1 , 43,15,stable,0.7 ,-1.9, 3.3
