Incidence Rate Report for United States by County

"Liver & Bile Duct (All Stages^), 2015-2019"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

State, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,4.8 ,4.7, 4.8,N/A , N/A , N/A,10213,stable,0.3 ,-1.0, 1.6
"Bee County, Texas(7)",48025,20.7 ,11.9, 33.8,N/A , 1 , 23,3,*,*,*,*
"Caldwell County, Texas(7)",48055,15.2 ,9.2, 23.8,N/A , 1 , 32,4,*,*,*,*
"Jim Wells County, Texas(7)",48249,14.1 ,8.1, 22.9,N/A , 1 , 46,3,*,*,*,*
"Maverick County, Texas(7)",48323,13.8 ,8.4, 21.3,N/A , 1 , 41,4,*,*,*,*
"Starr County, Texas(7)",48427,12.4 ,7.5, 19.2,N/A , 1 , 43,4,*,*,*,*
"Kay County, Oklahoma(6)",40071,11 ,5.9, 18.8,N/A , 1 , 3,3,*,*,*,*
"Webb County, Texas(7)",48479,10.1 ,7.6, 13,N/A , 2 , 29,12,stable,-0.2 ,-2.7, 2.4
"Imperial County, California(7)",06025,10 ,7.3, 13.3,N/A , 1 , 12,10,*,*,*,*
"Ector County, Texas(7)",48135,9.8 ,6.8, 13.7,N/A , 2 , 40,7,rising,5.7 ,1.9, 9.7
"Columbia County, Wisconsin(6)",55021,9.7 ,5.5, 16,N/A , 1 , 7,3,*,*,*,*
"El Paso County, Texas(7)",48141,9.6 ,8.4, 11,N/A , 3 , 19,44,rising,3.6 ,2.4, 4.9
"Queen Annes County, Maryland(6)",24035,9.4 ,5.4, 15.6,N/A , 1 , 9,3,*,*,*,*
"Bexar County, Texas(7)",48029,9.3 ,8.5, 10.2,N/A , 4 , 18,98,rising,3.0 ,1.7, 4.2
"Merced County, California(7)",06047,9.1 ,6.9, 11.7,N/A , 1 , 14,12,rising,5.3 ,2.0, 8.7
"Nueces County, Texas(7)",48355,8.9 ,7.2, 10.9,N/A , 4 , 30,19,stable,2.2 ,-0.1, 4.6
"Bastrop County, Texas(7)",48021,8.8 ,5.5, 13.5,N/A , 2 , 49,5,*,*,*,*
"Harrison County, Mississippi(6)",28047,8.8 ,6.6, 11.5,N/A , 1 , 2,11,*,*,*,*
"Sutter County, California(7)",06101,8.6 ,5.5, 12.8,N/A , 1 , 32,5,*,*,*,*
"Angelina County, Texas(7)",48005,8.4 ,5.3, 12.9,N/A , 2 , 50,5,stable,3.7 ,-0.2, 7.8
"Ross County, Ohio(6)",39141,8.4 ,5.1, 13.2,N/A , 1 , 19,4,*,*,*,*
"Van Buren County, Michigan(6)",26159,8.4 ,5, 13.3,N/A , 1 , 15,4,*,*,*,*
"Tom Green County, Texas(7)",48451,8.2 ,5.5, 11.9,N/A , 3 , 48,6,*,*,*,*
"Bell County, Texas(7)",48027,8.2 ,6.3, 10.4,N/A , 4 , 39,14,rising,6.1 ,3.0, 9.3
"San Patricio County, Texas(7)",48409,8.1 ,4.7, 13.2,N/A , 2 , 50,3,stable,0.7 ,-4.0, 5.7
"Victoria County, Texas(7)",48469,8.1 ,5.1, 12.2,N/A , 3 , 49,5,rising,6.0 ,2.4, 9.7
"Baltimore City, Maryland(6)",24510,8 ,6.8, 9.4,N/A , 1 , 4,33,rising,4.8 ,2.0, 7.7
"Wichita County, Texas(7)",48485,8 ,5.4, 11.5,N/A , 3 , 48,6,*,*,*,*
"Liberty County, Texas(7)",48291,8 ,4.6, 12.7,N/A , 3 , 50,4,*,*,*,*
"Madera County, California(7)",06039,7.9 ,5.5, 11,N/A , 1 , 32,7,*,*,*,*
"Clayton County, Georgia(7)",13063,7.9 ,5.8, 10.4,N/A , 1 , 11,11,*,*,*,*
"Bronx County, New York(7)",36005,7.7 ,6.9, 8.6,N/A , 1 , 3,68,stable,-3.5 ,-8.5, 1.9
"Grays Harbor County, Washington(7)",53027,7.7 ,4.8, 12.2,N/A , 1 , 16,4,*,*,*,*
"Hidalgo County, Texas(7)",48215,7.7 ,6.5, 9,N/A , 8 , 34,31,rising,3.3 ,1.4, 5.3
"Terrebonne Parish, Louisiana(7)",22109,7.5 ,5, 11.1,N/A , 1 , 10,6,*,*,*,*
"Madison County, Mississippi(6)",28089,7.5 ,4.7, 11.4,N/A , 1 , 4,5,*,*,*,*
"Cherokee County, South Carolina(6)",45021,7.5 ,4.2, 12.6,N/A , 1 , 16,3,*,*,*,*
"Dallas County, Texas(7)",48113,7.4 ,6.8, 8.1,N/A , 12 , 30,99,stable,-0.3 ,-3.8, 3.2
"Taylor County, Texas(7)",48441,7.4 ,4.9, 10.7,N/A , 4 , 50,6,rising,7.9 ,3.2, 12.8
"Harris County, Texas(7)",48201,7.4 ,6.9, 7.9,N/A , 13 , 29,166,rising,3.9 ,2.8, 5.0
"Klamath County, Oregon(6)",41035,7.4 ,4.5, 11.9,N/A , 1 , 12,4,*,*,*,*
"Navajo County, Arizona(6)",04017,7.4 ,4.9, 10.9,N/A , 1 , 6,6,*,*,*,*
