Incidence Rate Report for United States by County

"Lung & Bronchus (All Stages^), 2015-2019"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

State, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,50.3 ,50.2, 50.5,N/A , N/A , N/A,108540,falling,-1.8 ,-2.7, -0.8
"North Slope Borough, Alaska(6)",02185,139.1 ,77.4, 226.4,N/A , 1 , 1,3,*,*,*,*
"Lake County, Tennessee(6)",47095,130.8 ,86, 195.3,N/A , 1 , 77,6,stable,3.3 ,-1.9, 8.8
"Floyd County, Kentucky(7)",21071,129.7 ,111, 150.9,N/A , 1 , 26,36,stable,-0.1 ,-1.4, 1.3
"Perry County, Kentucky(7)",21193,123.1 ,100.8, 149.2,N/A , 1 , 45,23,stable,0.0 ,-2.4, 2.6
"Calhoun County, Arkansas(6)",05013,119 ,73.2, 187.1,N/A , 1 , 63,5,*,*,*,*
"Owsley County, Kentucky(7)",21189,117.9 ,70.2, 189.5,N/A , 1 , 117,4,stable,-16.6 ,-38.9, 13.9
"Carroll County, Kentucky(7)",21041,114.9 ,81.9, 157.9,N/A , 1 , 99,8,stable,-0.1 ,-2.3, 2.2
"Love County, Oklahoma(6)",40085,113.3 ,79.4, 157.9,N/A , 1 , 27,8,*,*,*,*
"Pleasants County, West Virginia(6)",54073,111.7 ,74.2, 164.7,N/A , 1 , 45,6,stable,2.4 ,-1.4, 6.4
"Livingston County, Kentucky(7)",21139,108.5 ,78.1, 149.6,N/A , 1 , 106,9,stable,2.0 ,-1.6, 5.7
"Knox County, Kentucky(7)",21121,108.4 ,89.4, 130.6,N/A , 1 , 68,24,stable,1.2 ,-0.6, 3.0
"Edmonson County, Kentucky(7)",21061,107.8 ,79.5, 144.5,N/A , 1 , 99,10,stable,0.0 ,-2.6, 2.8
"Rolette County, North Dakota(6)",38079,106.6 ,74.7, 147.4,N/A , 1 , 6,8,stable,-1.3 ,-5.4, 3.0
"Harlan County, Kentucky(7)",21095,105.7 ,86.2, 128.8,N/A , 1 , 77,22,stable,0.7 ,-1.3, 2.8
"Mississippi County, Missouri(6)",29133,105.4 ,78.3, 140.4,N/A , 1 , 60,10,stable,2.7 ,-0.5, 5.9
"Powell County, Kentucky(7)",21197,105.1 ,75.5, 143.3,N/A , 1 , 107,9,stable,1.0 ,-2.3, 4.5
"Hancock County, Tennessee(6)",47067,103.7 ,64, 160.8,N/A , 1 , 94,5,stable,3.3 ,-1.5, 8.3
"Benson County, North Dakota(6)",38005,103.4 ,60.1, 166.3,N/A , 1 , 14,4,*,*,*,*
"Union County, Florida(6)",12125,102.2 ,69.8, 145.2,N/A , 1 , 44,7,*,*,*,*
"Pendleton County, Kentucky(7)",21191,102 ,74.7, 136.8,N/A , 1 , 106,10,stable,1.1 ,-2.1, 4.4
"Martin County, Kentucky(7)",21159,101.9 ,72.2, 141.6,N/A , 1 , 112,8,stable,1.2 ,-1.7, 4.2
"Lawrence County, Kentucky(7)",21127,101.6 ,77, 132.6,N/A , 1 , 100,12,stable,-0.1 ,-3.2, 3.2
"Woodruff County, Arkansas(6)",05147,101.4 ,65.8, 152.7,N/A , 1 , 67,6,*,*,*,*
"Wolfe County, Kentucky(7)",21237,101.1 ,67.8, 148.1,N/A , 1 , 116,6,stable,0.5 ,-2.8, 3.8
