Incidence Rate Report for United States by County

"Melanoma of the Skin (All Stages^), 2015-2019"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

State, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,18.3 ,18.2, 18.4,N/A , N/A , N/A,35035,stable,-0.1 ,-1.7, 1.5
"Franklin County, Iowa(7)",19069,59.6 ,32.8, 99.5,N/A , 1 , 34,4,*,*,*,*
"Plymouth County, Iowa(7)",19149,57.9 ,39.8, 81.1,N/A , 1 , 19,7,*,*,*,*
"Dickinson County, Iowa(7)",19059,56.4 ,36.2, 84.2,N/A , 1 , 25,6,*,*,*,*
"Delaware County, Iowa(7)",19055,56.3 ,35.8, 84.2,N/A , 1 , 26,5,*,*,*,*
"Sioux County, Iowa(7)",19167,55.3 ,39.8, 74.7,N/A , 1 , 18,9,*,*,*,*
"Gunnison County, Colorado(6)",08051,53.3 ,31.7, 84.1,N/A , 1 , 8,4,*,*,*,*
"Piatt County, Illinois(7)",17147,51.2 ,31.3, 78.9,N/A , 1 , 53,5,*,*,*,*
"Summit County, Utah(7)",49043,51 ,38.2, 67,N/A , 1 , 6,12,*,*,*,*
"Wasatch County, Utah(7)",49051,49 ,33.7, 68.8,N/A , 1 , 9,7,*,*,*,*
"Cerro Gordo County, Iowa(7)",19033,48.4 ,36.2, 63.4,N/A , 1 , 20,13,*,*,*,*
"Marin County, California(7)",06041,48.3 ,43.5, 53.5,N/A , 1 , 3,91,rising,4.4 ,3.4, 5.3
"Winneshiek County, Iowa(7)",19191,47.3 ,28.3, 73.8,N/A , 1 , 34,5,*,*,*,*
"Washington County, Utah(7)",49053,47.3 ,41, 54.3,N/A , 1 , 5,47,rising,11.8 ,7.1, 16.6
"Forsyth County, Georgia(7)",13117,45.4 ,40.1, 51.2,N/A , 1 , 9,55,stable,1.4 ,-0.2, 3.0
"Ashe County, North Carolina(6)",37009,45.3 ,30.6, 64.7,N/A , 1 , 37,8,*,*,*,*
"White County, Georgia(7)",13311,44.7 ,31.5, 61.9,N/A , 1 , 26,9,*,*,*,*
"Somerset County, Maryland(6)",24039,43 ,27.9, 63.7,N/A , 1 , 16,6,stable,2.2 ,-3.4, 8.1
"Dawson County, Georgia(7)",13085,42.4 ,28.7, 60.9,N/A , 1 , 36,7,*,*,*,*
"Lawrence County, Alabama(6)",01079,42.4 ,29.7, 58.8,N/A , 1 , 14,8,*,*,*,*
"Towns County, Georgia(7)",13281,42.3 ,21.2, 76.7,N/A , 1 , 65,4,*,*,*,*
"Cape May County, New Jersey(7)",34009,42.3 ,35, 50.7,N/A , 1 , 2,33,rising,2.4 ,0.1, 4.7
"Blaine County, Idaho(7)",16013,42.3 ,28.2, 61.5,N/A , 1 , 6,6,*,*,*,*
"Lamoille County, Vermont(6)",50015,42 ,28.2, 60.5,N/A , 1 , 10,6,*,*,*,*
"Inyo County, California(7)",06027,41.5 ,26.1, 63.5,N/A , 1 , 31,5,*,*,*,*
"Cache County, Utah(7)",49005,41.2 ,33.4, 50.2,N/A , 1 , 9,20,rising,5.1 ,2.9, 7.3
"Dubuque County, Iowa(7)",19061,41 ,33.2, 50,N/A , 3 , 23,22,rising,5.6 ,4.1, 7.2
"Marion County, Kentucky(7)",21155,40.9 ,24, 64.6,N/A , 1 , 52,4,*,*,*,*
"Brown County, South Dakota(6)",46013,40.9 ,28.3, 56.8,N/A , 1 , 5,8,rising,6.6 ,2.3, 11.2
"Worcester County, Maryland(6)",24047,40.8 ,31.3, 52.5,N/A , 1 , 10,17,rising,2.7 ,0.3, 5.3
