Incidence Rate Report for United States by County

"Non-Hodgkin Lymphoma (All Stages^), 2015-2019"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

State, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,15.7 ,15.6, 15.8,N/A , N/A , N/A,32257,falling,-1.9 ,-2.6, -1.2
"Fulton County, Arkansas(6)",05049,41.5 ,21.6, 72.5,N/A , 1 , 18,3,*,*,*,*
"Rains County, Texas(7)",48379,36.1 ,19.1, 63.6,N/A , 1 , 87,3,*,*,*,*
"Chaffee County, Colorado(6)",08015,34.8 ,18.6, 59.3,N/A , 1 , 16,3,*,*,*,*
"Tipton County, Indiana(6)",18159,34.7 ,18.8, 59,N/A , 1 , 44,3,*,*,*,*
"Orange County, Vermont(6)",50017,33.8 ,22.8, 48.7,N/A , 1 , 2,7,stable,2.1 ,-2.6, 6.9
"O'Brien County, Iowa(7)",19141,32.3 ,18.3, 54.5,N/A , 1 , 24,4,*,*,*,*
"Mercer County, Illinois(7)",17131,32.2 ,17.6, 54.6,N/A , 1 , 51,3,stable,2.5 ,-1.9, 7.0
"Langlade County, Wisconsin(6)",55067,30.3 ,16.6, 51,N/A , 1 , 48,4,stable,2.8 ,-1.9, 7.8
"Payette County, Idaho(7)",16075,30.3 ,19.5, 45.7,N/A , 1 , 4,5,*,*,*,*
"Sawyer County, Wisconsin(6)",55113,29.7 ,17.7, 48.8,N/A , 1 , 47,4,*,*,*,*
"Wright County, Missouri(6)",29229,29.3 ,17, 47.8,N/A , 1 , 35,4,stable,2.8 ,-3.8, 9.8
"Boyle County, Kentucky(7)",21021,28.7 ,18.6, 42.6,N/A , 1 , 33,6,rising,19.2 ,6.9, 33.0
"Montague County, Texas(7)",48337,28.6 ,16.7, 46.4,N/A , 1 , 80,4,*,*,*,*
"Worth County, Georgia(7)",13321,28.5 ,15.9, 46.9,N/A , 1 , 56,4,stable,4.2 ,0.0, 8.7
"Logan County, Kentucky(7)",21141,28.1 ,17.4, 43.1,N/A , 1 , 37,5,*,*,*,*
"Douglas County, Illinois(7)",17041,28 ,15.9, 46.2,N/A , 1 , 53,3,*,*,*,*
"Washington County, Iowa(7)",19183,27.6 ,16.6, 43.7,N/A , 1 , 24,4,*,*,*,*
"Adair County, Missouri(6)",29001,27.6 ,15, 46.1,N/A , 1 , 39,3,*,*,*,*
"Perry County, Pennsylvania(6)",42099,27.5 ,19.7, 37.7,N/A , 1 , 46,9,stable,-0.1 ,-3.0, 2.8
"Cass County, Nebraska(6)",31025,27.1 ,17.3, 41.1,N/A , 1 , 9,5,stable,1.6 ,-2.7, 6.1
"Davison County, South Dakota(6)",46035,26.8 ,14.7, 45.1,N/A , 1 , 4,3,*,*,*,*
"Baker County, Florida(6)",12003,26.5 ,16, 41.5,N/A , 1 , 47,4,*,*,*,*
"Grenada County, Mississippi(6)",28043,26.2 ,14.5, 43.6,N/A , 1 , 21,3,*,*,*,*
"Hernando County, Florida(6)",12053,26.1 ,22.2, 30.5,N/A , 1 , 16,42,rising,5.3 ,1.7, 9.0
"DeWitt County, Texas(7)",48123,26.1 ,15, 43.1,N/A , 1 , 88,4,*,*,*,*
"McDonough County, Illinois(7)",17109,26 ,16.7, 39.2,N/A , 1 , 50,5,*,*,*,*
"Paulding County, Ohio(6)",39125,25.9 ,15.1, 42.4,N/A , 1 , 74,4,*,*,*,*
"Elbert County, Colorado(6)",08039,25.6 ,15.2, 41,N/A , 1 , 19,4,*,*,*,*
"Jackson County, Oklahoma(6)",40065,25.5 ,14.9, 40.9,N/A , 1 , 29,4,*,*,*,*
"Whitley County, Kentucky(7)",21235,25.5 ,17.2, 36.7,N/A , 1 , 35,6,*,*,*,*
"Wyoming County, New York(7)",36121,25.2 ,16.6, 37,N/A , 1 , 57,6,stable,2.0 ,-1.5, 5.6
"Muscatine County, Iowa(7)",19139,25.2 ,17.3, 35.6,N/A , 1 , 22,7,rising,2.6 ,0.8, 4.4
"Hendry County, Florida(6)",12051,25 ,16.4, 36.6,N/A , 1 , 46,5,*,*,*,*
"Okanogan County, Washington(6)",53047,24.9 ,17.6, 34.7,N/A , 1 , 17,8,stable,2.3 ,-1.7, 6.5
"Benton County, Iowa(7)",19011,24.9 ,15.3, 38.7,N/A , 1 , 25,4,stable,-0.3 ,-2.8, 2.2
"Roscommon County, Michigan(6)",26143,24.8 ,14.5, 41,N/A , 1 , 56,5,stable,-1.4 ,-4.4, 1.8
"Pickens County, Georgia(7)",13227,24.6 ,16.3, 36.4,N/A , 1 , 50,6,*,*,*,*
"Pickaway County, Ohio(6)",39129,24.6 ,17.5, 33.8,N/A , 1 , 63,8,*,*,*,*
"Lee County, Illinois(7)",17103,24.5 ,15.9, 36.7,N/A , 1 , 50,6,*,*,*,*
"Levy County, Florida(6)",12075,24.5 ,16.3, 35.7,N/A , 1 , 46,7,*,*,*,*
"Guernsey County, Ohio(6)",39059,24.5 ,16.4, 35.4,N/A , 1 , 69,7,stable,1.6 ,-4.0, 7.5
"Rusk County, Texas(7)",48401,24.3 ,17, 33.9,N/A , 1 , 64,8,stable,30.9 ,-6.1, 82.6
"Knox County, Kentucky(7)",21121,24.2 ,15.5, 36.3,N/A , 1 , 38,5,stable,3.5 ,-0.1, 7.3
"Pope County, Arkansas(6)",05115,24.2 ,17.8, 32.2,N/A , 1 , 16,10,stable,0.7 ,-3.5, 5.1
"Clayton County, Iowa(7)",19043,24.1 ,14.6, 39.6,N/A , 1 , 25,4,*,*,*,*
"Lafayette County, Missouri(6)",29107,24 ,15.9, 35.2,N/A , 1 , 34,6,stable,-0.6 ,-4.1, 3.0
"Door County, Wisconsin(6)",55029,23.8 ,15.7, 36.1,N/A , 1 , 45,7,stable,0.6 ,-2.9, 4.1
"Schuyler County, New York(7)",36097,23.8 ,13.8, 39.8,N/A , 1 , 59,4,*,*,*,*
"Sarasota County, Florida(6)",12115,23.8 ,21.3, 26.5,N/A , 1 , 19,107,stable,3.9 ,-0.1, 8.1
"Glenn County, California(7)",06021,23.6 ,14, 37.4,N/A , 1 , 46,4,stable,1.7 ,-1.8, 5.3
"Greene County, New York(7)",36039,23.5 ,16.3, 33.2,N/A , 1 , 55,8,stable,0.9 ,-3.0, 4.9
"Fannin County, Texas(7)",48147,23.4 ,14.8, 35.5,N/A , 1 , 84,5,rising,3.5 ,0.2, 6.9
"Suwannee County, Florida(6)",12121,23.2 ,16, 33.1,N/A , 1 , 46,7,stable,2.5 ,-1.1, 6.1
"Johnson County, Arkansas(6)",05071,23.2 ,13.3, 37.5,N/A , 1 , 26,4,*,*,*,*
"Bullitt County, Kentucky(7)",21029,23 ,17.4, 30,N/A , 1 , 31,12,stable,2.5 ,0.0, 5.1
"Boone County, West Virginia(6)",54005,22.9 ,13.3, 37.7,N/A , 1 , 26,4,stable,0.2 ,-3.4, 3.9
"Bay County, Florida(6)",12005,22.9 ,19.1, 27.2,N/A , 1 , 35,28,rising,3.8 ,0.2, 7.5
"Lincoln County, Kentucky(7)",21137,22.9 ,13.8, 36.3,N/A , 1 , 40,4,*,*,*,*
"Logan County, Arkansas(6)",05083,22.9 ,13.9, 36.6,N/A , 1 , 25,4,*,*,*,*
"Union County, Tennessee(6)",47173,22.8 ,12.9, 38.4,N/A , 1 , 49,3,*,*,*,*
"Warren County, New York(7)",36113,22.7 ,16.9, 30.1,N/A , 1 , 53,12,rising,1.8 ,0.1, 3.6
"Meade County, Kentucky(7)",21163,22.7 ,13.3, 36.4,N/A , 1 , 40,4,*,*,*,*
"Bryan County, Georgia(7)",13029,22.6 ,13.4, 35.4,N/A , 1 , 59,4,*,*,*,*
"Wexford County, Michigan(6)",26165,22.5 ,14.6, 33.6,N/A , 1 , 54,5,stable,1.8 ,-3.5, 7.5
"Wayne County, New York(7)",36117,22.5 ,17.2, 28.9,N/A , 1 , 50,14,stable,-16.1 ,-39.6, 16.5
"Crawford County, Ohio(6)",39033,22.4 ,15.2, 32.1,N/A , 1 , 72,7,stable,2.8 ,-1.0, 6.8
"Ogle County, Illinois(7)",17141,22.4 ,15.6, 31.2,N/A , 1 , 49,8,stable,1.4 ,-1.7, 4.6
"Crawford County, Illinois(7)",17033,22.3 ,13.2, 37.2,N/A , 1 , 54,4,*,*,*,*
"Lake County, Florida(6)",12069,22.3 ,19.8, 25.1,N/A , 1 , 30,69,stable,0.8 ,-0.9, 2.6
"Logan County, West Virginia(6)",54045,22.3 ,14.5, 33.4,N/A , 1 , 25,6,stable,2.4 ,-1.9, 6.9
"Douglas County, Wisconsin(6)",55031,22.3 ,15, 32.3,N/A , 1 , 47,6,stable,3.4 ,-0.7, 7.7
"Walker County, Texas(7)",48471,22.3 ,15.2, 31.6,N/A , 1 , 76,7,stable,0.6 ,-2.9, 4.2
"Mason County, West Virginia(6)",54053,22.2 ,13.6, 34.9,N/A , 1 , 26,5,stable,0.0 ,-4.0, 4.1
"Pottawattamie County, Iowa(7)",19155,22.2 ,17.1, 28.5,N/A , 1 , 20,14,stable,1.3 ,-0.3, 2.8
"Trempealeau County, Wisconsin(6)",55121,22.2 ,13.5, 34.8,N/A , 1 , 49,4,*,*,*,*
"Jersey County, Illinois(7)",17083,22.1 ,13.1, 36,N/A , 1 , 54,4,*,*,*,*
"Putnam County, New York(7)",36079,22 ,17.1, 28.1,N/A , 1 , 51,15,stable,-0.2 ,-3.0, 2.6
"Buchanan County, Missouri(6)",29021,22 ,16.6, 28.6,N/A , 1 , 28,12,stable,2.8 ,-0.7, 6.4
