Incidence Rate Report for United States by County

"Prostate (All Stages^), 2015-2019"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

State, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,109.9 ,109.7, 110.2,N/A , N/A , N/A,211245,stable,1.9 ,-0.8, 4.6
"Union County, Florida(6)",12125,301.1 ,257.9, 350.3,N/A , 1 , 1,41,stable,1.5 ,-1.4, 4.5
"Greeley County, Nebraska(6)",31077,258 ,163, 398.7,N/A , 1 , 49,5,stable,0.4 ,-3.8, 4.8
"Sheridan County, Montana(6)",30091,230.7 ,156.9, 333.9,N/A , 1 , 27,7,*,*,*,*
"Macon County, Alabama(6)",01087,222.5 ,183.9, 267.6,N/A , 1 , 8,26,stable,1.9 ,-0.8, 4.6
"Boone County, Nebraska(6)",31011,219.1 ,160.9, 296,N/A , 1 , 40,10,stable,0.0 ,-5.8, 6.1
"Wilkinson County, Mississippi(6)",28157,217 ,165.1, 281,N/A , 1 , 39,13,*,*,*,*
"Wheatland County, Montana(6)",30107,210.8 ,128.4, 342.1,N/A , 1 , 41,4,stable,55.8 ,-2.6, 149.2
"Terrell County, Georgia(7)",13273,208.6 ,156.9, 273.4,N/A , 1 , 64,12,stable,-2.7 ,-5.4, 0.1
"Cuming County, Nebraska(6)",31039,206 ,160, 263.2,N/A , 1 , 33,14,stable,1.9 ,-1.0, 4.9
"Sunflower County, Mississippi(6)",28133,202.2 ,167.5, 241.9,N/A , 1 , 34,26,*,*,*,*
"Douglas County, South Dakota(6)",46043,200.7 ,126.9, 311.7,N/A , 1 , 34,5,*,*,*,*
"Sumter County, Alabama(6)",01119,197 ,151.9, 252.2,N/A , 1 , 29,14,stable,0.2 ,-1.9, 2.3
"Grant County, North Dakota(6)",38037,196 ,125.4, 311.9,N/A , 1 , 25,5,*,*,*,*
"Mercer County, North Dakota(6)",38057,195.7 ,149, 254.2,N/A , 1 , 16,13,stable,0.8 ,-2.8, 4.5
