Incidence Rate Report for United States by County

"Thyroid (All Stages^), 2015-2019"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

State, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,7.2 ,7.2, 7.3,N/A , N/A , N/A,12289,falling,-1.4 ,-2.4, -0.4
"Richmond County, New York(7)",36085,19.9 ,17.4, 22.6,N/A , 1 , 2,50,stable,2.7 ,-1.1, 6.6
"Morgan County, Illinois(7)",17137,16.3 ,9.2, 27,N/A , 1 , 18,3,*,*,*,*
"DeKalb County, Illinois(7)",17037,16.2 ,11.3, 22.4,N/A , 1 , 8,8,*,*,*,*
"Talbot County, Maryland(6)",24041,16 ,8.5, 27.4,N/A , 1 , 13,3,*,*,*,*
"Flathead County, Montana(6)",30029,15.9 ,11.3, 21.8,N/A , 1 , 2,8,rising,9.3 ,4.4, 14.4
"Floyd County, Kentucky(7)",21071,15.8 ,8.7, 26.4,N/A , 1 , 7,3,*,*,*,*
"Bingham County, Idaho(7)",16011,15.6 ,8.8, 25.5,N/A , 1 , 2,3,*,*,*,*
"Park County, Wyoming(6)",56029,15.6 ,8.5, 26.8,N/A , N/A , N/A,3,*,*,*,*
"Bedford County, Pennsylvania(6)",42009,15.3 ,9.1, 24,N/A , 1 , 43,4,stable,4.8 ,-1.4, 11.3
"Bonneville County, Idaho(7)",16019,14.7 ,10.4, 20.1,N/A , 1 , 2,8,*,*,*,*
"Laurel County, Kentucky(7)",21125,14.4 ,9, 21.9,N/A , 1 , 6,5,*,*,*,*
"Jackson County, Georgia(7)",13157,14.4 ,8.8, 22,N/A , 1 , 8,4,*,*,*,*
"Nassau County, New York(7)",36059,14 ,12.8, 15.3,N/A , 2 , 8,104,stable,1.2 ,-1.8, 4.3
"Huntingdon County, Pennsylvania(6)",42061,14 ,8.2, 22.4,N/A , 1 , 45,4,*,*,*,*
"Lycoming County, Pennsylvania(6)",42081,13.9 ,9.9, 19,N/A , 1 , 35,9,stable,3.1 ,0.0, 6.3
"Kanawha County, West Virginia(6)",54039,13.9 ,10.7, 17.7,N/A , 1 , 3,15,rising,8.2 ,3.5, 13.1
"Allegany County, Maryland(6)",24001,13.8 ,9.2, 20.1,N/A , 1 , 8,6,rising,4.0 ,0.1, 8.1
"Macon County, Illinois(7)",17115,13.8 ,9.5, 19.3,N/A , 1 , 13,8,*,*,*,*
"Jefferson County, Ohio(6)",39081,13.5 ,8.6, 20.3,N/A , 1 , 36,6,stable,2.9 ,-0.9, 7.0
"Morgan County, Indiana(6)",18109,13.5 ,8.5, 20.4,N/A , 1 , 10,5,*,*,*,*
"Northampton County, Pennsylvania(6)",42095,13.5 ,11, 16.3,N/A , 1 , 24,23,rising,3.0 ,0.3, 5.9
"Rockland County, New York(7)",36087,13.5 ,10.9, 16.4,N/A , 2 , 19,21,rising,2.3 ,0.1, 4.6
"Natrona County, Wyoming(6)",56025,13 ,8.4, 19.3,N/A , N/A , N/A,5,*,*,*,*
"Barrow County, Georgia(7)",13013,13 ,8.5, 19.2,N/A , 1 , 9,5,*,*,*,*
"Monmouth County, New Jersey(7)",34025,12.9 ,11.2, 14.9,N/A , 1 , 7,44,stable,-1.1 ,-7.0, 5.2
"Gloucester County, New Jersey(7)",34015,12.8 ,10.3, 15.7,N/A , 1 , 11,20,rising,4.1 ,1.6, 6.7
"Rutland County, Vermont(6)",50021,12.6 ,7.6, 19.9,N/A , 1 , 3,4,*,*,*,*
