Incidence Rate Report for United States by County

"Brain & ONS (All Stages^), 2015-2019"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

State, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,6.4 ,6.4, 6.5,N/A , N/A , N/A,22944,falling,-1.7 ,-2.5, -0.8
"Texas County, Oklahoma(6)",40139,17 ,9.8, 27.4,N/A , 1 , 11,3,*,*,*,*
"Wyoming County, Pennsylvania(6)",42131,15.4 ,9.2, 24,N/A , 1 , 48,4,*,*,*,*
"Breckinridge County, Kentucky(7)",21027,15.1 ,8.3, 25.2,N/A , 1 , 26,3,*,*,*,*
"Lincoln County, Kentucky(7)",21137,14.3 ,8.3, 23,N/A , 1 , 25,4,*,*,*,*
"Silver Bow County, Montana(6)",30093,13.4 ,8.6, 20,N/A , 1 , 4,5,stable,4.3 ,-0.8, 9.7
"Vernon County, Missouri(6)",29217,13.2 ,7.3, 22.1,N/A , 1 , 27,3,*,*,*,*
"Henry County, Missouri(6)",29083,12.8 ,7.1, 21.3,N/A , 1 , 27,3,*,*,*,*
"Plymouth County, Iowa(7)",19149,12.6 ,7.2, 20.4,N/A , 1 , 15,4,*,*,*,*
"Chattooga County, Georgia(7)",13055,12.5 ,7.3, 20.2,N/A , 1 , 37,4,*,*,*,*
"Brooke County, West Virginia(6)",54009,12 ,6.3, 20.7,N/A , 1 , 14,3,*,*,*,*
"Taylor County, Kentucky(7)",21217,12 ,6.9, 19.4,N/A , 1 , 28,4,*,*,*,*
"Windsor County, Vermont(6)",50027,11.8 ,8, 16.9,N/A , 1 , 3,7,stable,1.5 ,-40.4, 72.9
"Putnam County, West Virginia(6)",54079,11.6 ,7.9, 16.4,N/A , 1 , 10,7,*,*,*,*
"Clay County, Indiana(6)",18021,11.5 ,6.6, 18.7,N/A , 1 , 36,4,stable,1.4 ,-3.1, 6.1
"Clinton County, Pennsylvania(6)",42035,11.4 ,7.1, 17.4,N/A , 1 , 56,5,*,*,*,*
