Incidence Rate Report for United States by County

"Uterus (Corpus & Uterus, NOS) (All Stages^), 2015-2019"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

State, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,27.7 ,27.5, 27.8,N/A , N/A , N/A,57691,stable,0.5 ,-0.5, 1.5
"Nicholas County, Kentucky(7)",21181,73.7 ,42.3, 120.9,N/A , 1 , 57,3,*,*,*,*
"Colfax County, Nebraska(6)",31037,73.1 ,42.5, 116.7,N/A , 1 , 9,4,*,*,*,*
"Clay County, West Virginia(6)",54015,63.9 ,37.5, 103.5,N/A , 1 , 33,4,*,*,*,*
"Turner County, Georgia(7)",13287,63.6 ,36.1, 105.3,N/A , 1 , 73,3,*,*,*,*
"Owen County, Kentucky(7)",21187,57 ,33.3, 91.8,N/A , 1 , 65,4,*,*,*,*
"Adams County, Ohio(6)",39001,55.4 ,40.6, 74.1,N/A , 1 , 40,10,*,*,*,*
"Adair County, Oklahoma(6)",40001,52.9 ,36, 75.1,N/A , 1 , 11,7,*,*,*,*
"Cheyenne County, Nebraska(6)",31033,52.8 ,31, 85.9,N/A , 1 , 17,4,*,*,*,*
"Montour County, Pennsylvania(6)",42093,52.3 ,34.5, 76.5,N/A , 1 , 60,6,stable,2.2 ,-3.1, 7.8
"Clay County, South Dakota(6)",46027,52 ,28.5, 86.9,N/A , 1 , 8,3,*,*,*,*
"Iron County, Missouri(6)",29093,52 ,29.3, 86.5,N/A , 1 , 65,4,*,*,*,*
"Hancock County, Illinois(7)",17067,51.9 ,34.4, 75.8,N/A , 1 , 60,7,stable,4.3 ,-1.2, 10.0
"Chenango County, New York(7)",36017,51.3 ,39.9, 65.1,N/A , 1 , 24,16,rising,2.6 ,0.2, 5.0
"Hardin County, Iowa(7)",19083,50.5 ,33.4, 74.2,N/A , 1 , 40,6,stable,2.0 ,-0.4, 4.4
"Snyder County, Pennsylvania(6)",42109,49.1 ,37.7, 63.2,N/A , 1 , 43,14,rising,3.5 ,1.1, 5.9
"Lee County, Illinois(7)",17103,48.8 ,36.3, 64.5,N/A , 1 , 36,12,rising,3.9 ,1.2, 6.6
"Barnes County, North Dakota(6)",38003,48.6 ,26.7, 82.1,N/A , 1 , 6,3,*,*,*,*
"Emanuel County, Georgia(7)",13107,47.8 ,32, 68.9,N/A , 1 , 72,6,*,*,*,*
"Dallas County, Missouri(6)",29059,47.7 ,30, 72.5,N/A , 1 , 60,5,*,*,*,*
"Huntington County, Indiana(6)",18069,47.6 ,35.4, 62.9,N/A , 1 , 42,11,rising,2.9 ,0.1, 5.8
"Scotts Bluff County, Nebraska(6)",31157,47.6 ,35.5, 62.6,N/A , 1 , 10,12,stable,3.4 ,0.0, 7.0
"Fayette County, West Virginia(6)",54019,47.2 ,35.5, 61.5,N/A , 1 , 28,13,rising,4.2 ,0.1, 8.5
"Boyle County, Kentucky(7)",21021,47.1 ,34.1, 63.7,N/A , 1 , 48,10,rising,5.8 ,0.8, 11.1
"Guernsey County, Ohio(6)",39059,46.9 ,35.1, 61.7,N/A , 1 , 61,12,rising,3.3 ,0.2, 6.4
"Hardee County, Florida(6)",12049,46.3 ,31.5, 65.7,N/A , 1 , 36,7,*,*,*,*
"Wayne County, West Virginia(6)",54099,46.2 ,35.5, 59.4,N/A , 1 , 28,14,stable,3.4 ,0.0, 6.9
"Iowa County, Iowa(7)",19095,46.1 ,29, 70.2,N/A , 1 , 46,5,stable,0.3 ,-1.7, 2.3
"Boone County, West Virginia(6)",54005,45.7 ,31.1, 65.4,N/A , 1 , 34,7,stable,1.2 ,-2.9, 5.5
"Piscataquis County, Maine(6)",23021,45.4 ,28.4, 69.9,N/A , 1 , 16,6,stable,1.1 ,-3.6, 6.0
"Perry County, Pennsylvania(6)",42099,45.4 ,35.1, 58,N/A , 1 , 53,15,rising,2.8 ,0.4, 5.2
"White County, Illinois(7)",17193,45.2 ,26.2, 73.2,N/A , 1 , 72,4,*,*,*,*
"McCreary County, Kentucky(7)",21147,44.8 ,28.3, 68.3,N/A , 1 , 69,5,*,*,*,*
"Wetzel County, West Virginia(6)",54103,44.6 ,29.1, 67,N/A , 1 , 36,6,stable,1.8 ,-2.0, 5.8
"McDowell County, West Virginia(6)",54047,44.6 ,30.1, 64.7,N/A , 1 , 35,7,rising,3.7 ,1.0, 6.5
"Clay County, Arkansas(6)",05021,44.6 ,26.3, 70.9,N/A , 1 , 36,4,*,*,*,*
"Northumberland County, Pennsylvania(6)",42097,44.6 ,37.3, 53,N/A , 1 , 32,30,rising,3.1 ,1.4, 4.8
"Nicholas County, West Virginia(6)",54067,44.4 ,31.1, 62.1,N/A , 1 , 35,8,rising,7.3 ,2.3, 12.6
"Rush County, Indiana(6)",18139,44.3 ,27.5, 68,N/A , 1 , 74,5,stable,1.8 ,-2.5, 6.2
"Stone County, Arkansas(6)",05137,44.1 ,25.4, 72.8,N/A , 1 , 36,4,*,*,*,*
"Cooper County, Missouri(6)",29053,43.7 ,27.7, 66.4,N/A , 1 , 62,5,stable,1.3 ,-3.2, 5.9
"Appanoose County, Iowa(7)",19007,43.6 ,26.1, 70,N/A , 1 , 49,4,*,*,*,*
"Lawrence County, Ohio(6)",39087,43.6 ,34.7, 54.3,N/A , 1 , 55,18,rising,3.6 ,1.3, 6.0
"Carter County, Kentucky(7)",21043,43.1 ,29.5, 61,N/A , 1 , 60,7,stable,0.5 ,-3.0, 4.1
"Tuscola County, Michigan(6)",26157,43.1 ,33.5, 54.7,N/A , 1 , 42,16,stable,0.8 ,-2.5, 4.2
"McCormick County, South Carolina(6)",45065,43 ,19.9, 84.5,N/A , 1 , 44,3,*,*,*,*
"Oglethorpe County, Georgia(7)",13221,42.9 ,26.1, 67.3,N/A , 1 , 85,4,*,*,*,*
"Tishomingo County, Mississippi(6)",28141,42.8 ,28.3, 62.7,N/A , 1 , 37,6,*,*,*,*
"Pike County, Kentucky(7)",21195,42.7 ,33.9, 53.4,N/A , 1 , 41,18,rising,3.5 ,1.4, 5.7
"Lincoln County, Wisconsin(6)",55069,42.6 ,30.9, 58.2,N/A , 1 , 54,10,stable,0.3 ,-3.7, 4.4
"Seneca County, New York(7)",36099,42.6 ,31.1, 57.3,N/A , 1 , 56,10,stable,0.8 ,-1.8, 3.5
"Boundary County, Idaho(7)",16021,42.5 ,24.3, 70.4,N/A , 1 , 18,4,*,*,*,*
"Morgan County, Ohio(6)",39115,42.4 ,26.1, 66.4,N/A , 1 , 85,5,stable,-19.8 ,-40.5, 8.0
"Logan County, West Virginia(6)",54045,42.4 ,30.8, 57.4,N/A , 1 , 33,10,stable,0.8 ,-2.9, 4.6
"Jefferson County, Georgia(7)",13163,42.3 ,26.7, 64.7,N/A , 1 , 88,5,*,*,*,*
"Taylor County, West Virginia(6)",54091,42.3 ,26.9, 64.4,N/A , 1 , 37,5,*,*,*,*
"Lewis County, West Virginia(6)",54041,42.2 ,26.5, 64.7,N/A , 1 , 37,5,rising,5.1 ,0.8, 9.5
"Mingo County, West Virginia(6)",54059,42.1 ,28.3, 60.7,N/A , 1 , 36,7,stable,4.5 ,-1.2, 10.5
"Knott County, Kentucky(7)",21119,42 ,25.6, 66,N/A , 1 , 71,4,*,*,*,*
"Ohio County, West Virginia(6)",54069,42 ,31.5, 55.1,N/A , 1 , 32,13,rising,3.5 ,1.0, 6.1
"Bee County, Texas(7)",48025,42 ,28.3, 60.2,N/A , 1 , 95,6,*,*,*,*
"Tuscarawas County, Ohio(6)",39157,42 ,34.5, 50.7,N/A , 1 , 49,25,rising,7.4 ,2.1, 13.0
"Raleigh County, West Virginia(6)",54081,42 ,33.9, 51.4,N/A , 2 , 28,22,stable,19.2 ,-2.5, 45.7
"Hardin County, Ohio(6)",39065,41.8 ,30.1, 57.1,N/A , 1 , 77,9,stable,1.9 ,-1.9, 5.9
"Maverick County, Texas(7)",48323,41.8 ,31.7, 54.1,N/A , 1 , 46,12,stable,4.0 ,-0.2, 8.3
"Buffalo County, Nebraska(6)",31019,41.8 ,31.3, 54.8,N/A , 1 , 14,11,stable,-4.3 ,-18.7, 12.6
"Cortland County, New York(7)",36023,41.7 ,31.1, 54.9,N/A , 1 , 56,12,stable,2.0 ,-0.7, 4.8
"Orleans County, New York(7)",36073,41.7 ,31.2, 54.8,N/A , 1 , 56,12,rising,3.2 ,0.7, 5.9
"Okfuskee County, Oklahoma(6)",40107,41.7 ,24, 69,N/A , 1 , 34,3,*,*,*,*
"Knox County, Kentucky(7)",21121,41.6 ,29.2, 57.6,N/A , 1 , 61,8,stable,3.2 ,-1.1, 7.6
"Warren County, Iowa(7)",19181,41.5 ,32, 53,N/A , 1 , 37,14,stable,1.4 ,-0.1, 2.9
"Kalkaska County, Michigan(6)",26079,41.5 ,26.9, 62.4,N/A , 1 , 68,6,stable,2.5 ,-1.4, 6.7
"Coshocton County, Ohio(6)",39031,41.2 ,30.5, 54.8,N/A , 1 , 77,11,stable,2.2 ,-1.9, 6.4
"Fayette County, Ohio(6)",39047,41.1 ,28.7, 57.4,N/A , 1 , 81,8,stable,3.3 ,-1.8, 8.8
"Wyoming County, New York(7)",36121,41.1 ,30.8, 54.2,N/A , 1 , 56,11,stable,0.5 ,-2.3, 3.4
"Hamilton County, Florida(6)",12047,40.9 ,23.4, 67.8,N/A , 1 , 54,4,*,*,*,*
"Lincoln County, Kentucky(7)",21137,40.7 ,27.3, 58.8,N/A , 1 , 68,6,stable,3.0 ,-0.8, 6.8
"Muskingum County, Ohio(6)",39119,40.7 ,33.5, 49.2,N/A , 1 , 55,24,stable,1.3 ,-1.0, 3.7
"Belknap County, New Hampshire(6)",33001,40.7 ,32.5, 50.6,N/A , 1 , 6,19,stable,2.0 ,-1.5, 5.6
"Boone County, Iowa(7)",19015,40.7 ,28.6, 56.7,N/A , 1 , 44,8,*,*,*,*
"Clay County, Iowa(7)",19041,40.6 ,24.9, 63.4,N/A , 1 , 49,5,stable,0.1 ,-2.0, 2.3
"Decatur County, Indiana(6)",18031,40.6 ,27.6, 57.8,N/A , 1 , 72,7,stable,1.8 ,-0.8, 4.4
"Newaygo County, Michigan(6)",26123,40.5 ,31.1, 52.1,N/A , 1 , 55,14,rising,4.5 ,1.8, 7.2
"Rowan County, Kentucky(7)",21205,40.5 ,26.5, 59.5,N/A , 1 , 69,6,*,*,*,*
"Kleberg County, Texas(7)",48273,40.4 ,27.2, 57.9,N/A , 1 , 100,6,rising,3.2 ,0.4, 6.1
"DeKalb County, Indiana(6)",18033,40.4 ,30.3, 53,N/A , 1 , 59,11,stable,1.7 ,-1.3, 4.7
"Jersey County, Illinois(7)",17083,40.4 ,26.1, 60,N/A , 1 , 72,6,stable,2.5 ,-0.6, 5.8
