Incidence Rate Report for United States by County

"Breast (All Stages^), 2015-2019"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

State, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,128.1 ,127.9, 128.3,N/A , N/A , N/A,253845,rising,0.4 ,0.3, 0.5
"Webster County, Georgia(7)",13307,244.8 ,151.1, 383,N/A , 1 , 137,5,*,*,*,*
"Aurora County, South Dakota(6)",46003,241.1 ,135.7, 395.4,N/A , 1 , 37,4,stable,1.7 ,-3.1, 6.8
"Mountrail County, North Dakota(6)",38061,216.9 ,158.9, 288.7,N/A , 1 , 18,10,stable,3.5 ,-0.1, 7.3
"Fallon County, Montana(6)",30025,215.9 ,122.4, 352.7,N/A , 1 , 38,4,*,*,*,*
"Nantucket County, Massachusetts(7)",25019,212.3 ,163.8, 271.2,N/A , 1 , 3,14,stable,0.9 ,-0.9, 2.8
"Pickens County, Alabama(6)",01107,206.5 ,170.5, 248.2,N/A , 1 , 7,26,rising,4.6 ,1.5, 7.7
"Shelby County, Missouri(6)",29205,203.1 ,138.2, 288.3,N/A , 1 , 87,8,rising,4.0 ,0.1, 8.0
"Rosebud County, Montana(6)",30087,200.7 ,146.5, 268.4,N/A , 1 , 25,10,stable,4.3 ,0.0, 8.8
"Tishomingo County, Mississippi(6)",28141,198.9 ,164.5, 238.7,N/A , 1 , 11,27,*,*,*,*
"McLean County, North Dakota(6)",38055,198.2 ,144.9, 264.9,N/A , 1 , 23,11,stable,1.5 ,-3.1, 6.3
"Union County, Florida(6)",12125,195.3 ,144.9, 257.2,N/A , 1 , 38,11,stable,0.9 ,-2.1, 4.0
"Johnson County, Nebraska(6)",31097,192.7 ,119.9, 295.1,N/A , 1 , 61,5,stable,3.5 ,-1.3, 8.4
"Humphreys County, Mississippi(6)",28053,191.2 ,141.4, 253.6,N/A , 1 , 55,11,*,*,*,*
"Skagway Hoonah Angoon Census Area, Alaska(6)",02232,190.7 ,107.9, 315.3,N/A , 1 , 13,4,*,*,*,*
"Mercer County, North Dakota(6)",38057,187.8 ,132.2, 258.9,N/A , 1 , 27,9,*,*,*,*
"Grant County, North Dakota(6)",38037,186.8 ,96, 334.5,N/A , 1 , 33,3,*,*,*,*
"Warren County, Georgia(7)",13301,186.4 ,127.1, 266.2,N/A , 1 , 136,8,*,*,*,*
"Phelps County, Nebraska(6)",31137,185 ,137.5, 244.6,N/A , 1 , 45,11,stable,0.5 ,-4.3, 5.5
"Clay County, Nebraska(6)",31035,182.6 ,126.6, 256.7,N/A , 1 , 52,8,rising,5.0 ,1.1, 9.2
"Thayer County, Nebraska(6)",31169,181.1 ,109.8, 280.3,N/A , 1 , 61,6,stable,3.8 ,-1.0, 8.7
"Monona County, Iowa(7)",19133,178.9 ,131.3, 239.5,N/A , 1 , 83,12,stable,1.7 ,-0.2, 3.7
"Lee County, Arkansas(6)",05077,178.2 ,126.5, 244.9,N/A , 1 , 59,10,stable,-14.4 ,-32.3, 8.2
"Stillwater County, Montana(6)",30095,177.6 ,131.9, 235.8,N/A , 1 , 30,12,stable,1.4 ,-2.4, 5.3
"Dewey County, South Dakota(6)",46041,176.9 ,109.4, 269.2,N/A , 1 , 38,4,*,*,*,*
"Thurston County, Nebraska(6)",31173,174.1 ,116.7, 249.6,N/A , 1 , 59,6,rising,4.0 ,1.0, 7.0
"Tyrrell County, North Carolina(6)",37177,174.1 ,104.7, 276.2,N/A , 1 , 100,5,stable,2.8 ,-1.4, 7.1
"Mills County, Iowa(7)",19129,173.8 ,137.7, 217.2,N/A , 1 , 69,18,stable,-0.4 ,-1.8, 1.1
"Sargent County, North Dakota(6)",38081,173.7 ,109.1, 268.4,N/A , 1 , 32,5,stable,3.3 ,-2.0, 8.9
"Hitchcock County, Nebraska(6)",31087,171.7 ,94.3, 293.2,N/A , 1 , 63,4,*,*,*,*
"McLean County, Kentucky(7)",21149,171.6 ,127.3, 227.7,N/A , 1 , 94,11,stable,2.7 ,-0.4, 5.9
"Greene County, Illinois(7)",17061,171.4 ,134.3, 216.6,N/A , 1 , 81,16,stable,2.4 ,-0.6, 5.5
"Price County, Wisconsin(6)",55099,171 ,135.1, 215.3,N/A , 1 , 58,19,stable,3.1 ,-0.6, 7.0
"Hood River County, Oregon(6)",41027,170.9 ,140.4, 206.4,N/A , 1 , 16,23,stable,2.5 ,-0.3, 5.5
"Lafayette County, Wisconsin(6)",55065,170.6 ,133.4, 215.1,N/A , 1 , 61,17,stable,2.9 ,-0.1, 6.0
"Franklin County, Iowa(7)",19069,170.6 ,125.7, 227.1,N/A , 1 , 86,12,stable,1.0 ,-0.6, 2.6
"Grundy County, Missouri(6)",29079,169.9 ,123.5, 228.1,N/A , 1 , 88,11,stable,3.6 ,-0.7, 8.0
"Pleasants County, West Virginia(6)",54073,169.7 ,117.9, 238.2,N/A , 1 , 50,8,stable,4.4 ,-0.4, 9.4
"Lewis County, Idaho(7)",16061,169.1 ,105.8, 262.6,N/A , 1 , 36,5,*,*,*,*
"Scott County, Illinois(7)",17171,168.1 ,111.9, 245.8,N/A , 1 , 100,6,stable,2.7 ,-1.1, 6.8
"McPherson County, South Dakota(6)",46089,167.6 ,91.1, 293.8,N/A , 1 , 41,3,*,*,*,*
