Incidence Rate Report for United States by County

"Colon & Rectum (All Stages^), 2015-2019"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

State, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,33 ,32.9, 33.2,N/A , N/A , N/A,67666,falling,-1.8 ,-2.3, -1.3
"Kusilvak/Wade Hampton Census Area, Alaska(6)",02270,173.3 ,103.5, 269,N/A , 1 , 3,4,*,*,*,*
"North Slope Borough, Alaska(6)",02185,133.3 ,78.1, 211.1,N/A , 1 , 4,4,*,*,*,*
"Yukon-Koyukuk Census Area, Alaska(6)",02290,132.3 ,74.5, 216.7,N/A , 1 , 4,3,stable,3.8 ,-3.6, 11.8
"Bracken County, Kentucky(7)",21023,88.2 ,56.5, 133.2,N/A , 1 , 70,5,*,*,*,*
"Brooks County, Texas(7)",48047,79.1 ,45.2, 129.9,N/A , 1 , 138,4,*,*,*,*
"Bethel Census Area, Alaska(6)",02050,79 ,49.5, 118.7,N/A , 3 , 4,5,falling,-4.3 ,-7.9, -0.5
"Kingsbury County, South Dakota(6)",46077,76.7 ,43.1, 132.4,N/A , 1 , 9,3,stable,3.3 ,-3.3, 10.2
"Boone County, Nebraska(6)",31011,76.6 ,43.3, 130.9,N/A , 1 , 30,4,*,*,*,*
"Antelope County, Nebraska(6)",31003,72.6 ,42.9, 119.7,N/A , 1 , 30,4,*,*,*,*
"Reynolds County, Missouri(6)",29179,71.9 ,38.6, 124.9,N/A , 1 , 85,3,*,*,*,*
"Thayer County, Nebraska(6)",31169,71 ,36.5, 129.4,N/A , 1 , 33,3,*,*,*,*
"Cumberland County, Kentucky(7)",21057,69.8 ,39.5, 116.9,N/A , 1 , 95,4,*,*,*,*
"Trimble County, Kentucky(7)",21223,69.3 ,41.1, 111.1,N/A , 1 , 95,4,*,*,*,*
"Pembina County, North Dakota(6)",38067,68.8 ,37.8, 117.9,N/A , 1 , 9,3,*,*,*,*
"Webster County, West Virginia(6)",54101,68.7 ,41.7, 109.3,N/A , 1 , 40,5,*,*,*,*
"Perry County, Illinois(7)",17145,68.7 ,48.9, 94.4,N/A , 1 , 55,9,stable,-0.2 ,-3.4, 3.1
"Arkansas County, Arkansas(6)",05001,67.5 ,47, 94,N/A , 1 , 39,8,rising,4.7 ,0.4, 9.1
"Tallahatchie County, Mississippi(6)",28135,66.8 ,42.6, 100.1,N/A , 1 , 64,5,*,*,*,*
"Chickasaw County, Mississippi(6)",28017,66.4 ,45.4, 94.1,N/A , 1 , 59,7,*,*,*,*
"Lawrence County, Arkansas(6)",05075,66.4 ,47.2, 91.7,N/A , 1 , 36,8,rising,5.4 ,1.2, 9.7
"Jefferson County, Mississippi(6)",28063,66.4 ,37.8, 110.3,N/A , 1 , 70,3,*,*,*,*
"Jefferson Davis County, Mississippi(6)",28065,65.6 ,41.7, 99.3,N/A , 1 , 66,6,*,*,*,*
"Butler County, Kentucky(7)",21031,65 ,43.8, 94.4,N/A , 1 , 88,6,*,*,*,*
"Sunflower County, Mississippi(6)",28133,64.4 ,46.9, 86.5,N/A , 1 , 51,10,*,*,*,*
"Lee County, Arkansas(6)",05077,63.8 ,34.2, 109.4,N/A , 1 , 62,4,*,*,*,*
"Clay County, Alabama(6)",01027,63.8 ,41.1, 95.2,N/A , 1 , 59,6,*,*,*,*
"Bolivar County, Mississippi(6)",28011,63.4 ,49.1, 80.8,N/A , 1 , 43,14,*,*,*,*
"Wilbarger County, Texas(7)",48487,63.1 ,39.2, 96.4,N/A , 1 , 133,5,*,*,*,*
"York County, Nebraska(6)",31185,62.9 ,42.8, 90.5,N/A , 1 , 28,7,stable,3.5 ,-0.5, 7.7
"Holmes County, Mississippi(6)",28051,62.9 ,43.4, 88.5,N/A , 1 , 61,7,*,*,*,*
"Little River County, Arkansas(6)",05081,62.1 ,39.3, 94,N/A , 1 , 56,5,stable,-0.9 ,-5.4, 3.9
"Dawson County, Texas(7)",48115,61.7 ,37.7, 95.6,N/A , 1 , 141,4,*,*,*,*
