Incidence Rate Report for United States by County

"Esophagus (All Stages^), 2015-2019"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

State, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,1.8 ,1.7, 1.8,N/A , N/A , N/A,3817,stable,-0.1 ,-0.8, 0.5
"Wichita County, Texas(7)",48485,4.4 ,2.5, 7.4,N/A , 1 , 2,3,*,*,*,*
"Calhoun County, Michigan(6)",26025,4.3 ,2.5, 6.8,N/A , 1 , 4,4,*,*,*,*
"Columbiana County, Ohio(6)",39029,4 ,2.3, 6.8,N/A , 1 , 8,3,*,*,*,*
"Chautauqua County, New York(7)",36013,4 ,2.4, 6.5,N/A , 1 , 14,4,*,*,*,*
"Warren County, New Jersey(7)",34041,3.7 ,2.1, 6.4,N/A , 1 , 9,3,*,*,*,*
"Nevada County, California(7)",06057,3.5 ,2, 6.1,N/A , 1 , 22,3,*,*,*,*
"Oneida County, New York(7)",36065,3.3 ,2.1, 5,N/A , 1 , 16,5,rising,5.0 ,0.7, 9.5
"Monroe County, Pennsylvania(6)",42089,3.3 ,1.9, 5.2,N/A , 1 , 16,4,*,*,*,*
"Monroe County, Michigan(6)",26115,3.2 ,1.9, 5.3,N/A , 1 , 7,4,*,*,*,*
"Saratoga County, New York(7)",36091,3 ,1.9, 4.6,N/A , 1 , 19,5,stable,2.0 ,-2.0, 6.2
"Muscogee County, Georgia(7)",13215,2.9 ,1.7, 4.8,N/A , 1 , 5,3,*,*,*,*
"Peoria County, Illinois(7)",17143,2.9 ,1.6, 4.9,N/A , 1 , 6,3,*,*,*,*
"Thurston County, Washington(7)",53067,2.8 ,1.9, 4.2,N/A , 1 , 7,5,*,*,*,*
"Northampton County, Pennsylvania(6)",42095,2.8 ,1.9, 4.1,N/A , 1 , 15,6,stable,3.3 ,-0.3, 7.0
"Citrus County, Florida(6)",12017,2.8 ,1.6, 5,N/A , 1 , 27,4,stable,0.1 ,-4.3, 4.8
"El Dorado County, California(7)",06017,2.8 ,1.7, 4.5,N/A , 1 , 24,4,*,*,*,*
"Dane County, Wisconsin(6)",55025,2.8 ,2, 3.8,N/A , 1 , 4,9,stable,2.6 ,-1.8, 7.2
"Anchorage Borough, Alaska(6)",02020,2.8 ,1.6, 4.4,N/A , N/A , N/A,4,*,*,*,*
"Litchfield County, Connecticut(7)",09005,2.7 ,1.6, 4.5,N/A , 1 , 5,4,*,*,*,*
"St. Joseph County, Indiana(6)",18141,2.7 ,1.7, 4.1,N/A , 1 , 4,5,stable,4.4 ,-0.1, 9.1
"New London County, Connecticut(7)",09011,2.7 ,1.8, 4,N/A , 1 , 5,5,*,*,*,*
"Merced County, California(7)",06047,2.7 ,1.6, 4.3,N/A , 1 , 26,4,*,*,*,*
"Brown County, Wisconsin(6)",55009,2.7 ,1.7, 4.2,N/A , 1 , 5,4,*,*,*,*
"Milwaukee County, Wisconsin(6)",55079,2.7 ,2.1, 3.4,N/A , 1 , 4,15,stable,-0.1 ,-2.7, 2.5
"Brevard County, Florida(6)",12009,2.7 ,2, 3.5,N/A , 1 , 17,14,rising,3.8 ,1.1, 6.6
"Chatham County, Georgia(7)",13051,2.6 ,1.7, 4,N/A , 1 , 5,5,*,*,*,*
"Gaston County, North Carolina(6)",37071,2.6 ,1.6, 4.1,N/A , 1 , 4,4,*,*,*,*
"Luzerne County, Pennsylvania(6)",42079,2.6 ,1.8, 3.8,N/A , 1 , 16,7,stable,0.7 ,-3.2, 4.7
"Trumbull County, Ohio(6)",39155,2.6 ,1.6, 4.1,N/A , 1 , 13,5,rising,6.0 ,1.1, 11.1
"Wayne County, Michigan(6)",26163,2.6 ,2.2, 3.1,N/A , 1 , 5,31,stable,-1.6 ,-3.4, 0.3
"Alachua County, Florida(6)",12001,2.6 ,1.6, 4.1,N/A , 1 , 27,4,stable,2.1 ,-2.2, 6.5
