Incidence Rate Report for United States by County

"Kidney & Renal Pelvis (All Stages^), 2015-2019"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

State, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,12 ,11.9, 12.1,N/A , N/A , N/A,24223,stable,0.0 ,-1.5, 1.5
"Randolph County, Arkansas(6)",05121,36.4 ,21.1, 58.6,N/A , 1 , 16,4,rising,7.9 ,2.3, 13.7
"Wayne County, Illinois(7)",17191,35 ,20, 57.3,N/A , 1 , 33,4,*,*,*,*
"Lincoln County, West Virginia(6)",54043,34.3 ,21.2, 53,N/A , 1 , 16,5,*,*,*,*
"Holmes County, Mississippi(6)",28051,32.8 ,18.7, 53.6,N/A , 1 , 26,3,*,*,*,*
"Choctaw County, Oklahoma(6)",40023,32.4 ,19.1, 52.8,N/A , 1 , 27,4,*,*,*,*
"Drew County, Arkansas(6)",05043,31.2 ,18, 50.7,N/A , 1 , 23,4,*,*,*,*
"Lincoln County, Montana(6)",30053,30.9 ,17.6, 51.2,N/A , 1 , 2,4,*,*,*,*
"Evangeline Parish, Louisiana(7)",22039,30.8 ,19.9, 45.5,N/A , 1 , 27,5,*,*,*,*
"Stoddard County, Missouri(6)",29207,30.7 ,19.7, 45.7,N/A , 1 , 18,5,*,*,*,*
"Gasconade County, Missouri(6)",29073,29.8 ,16.8, 50.5,N/A , 1 , 33,4,*,*,*,*
"Adair County, Oklahoma(6)",40001,29.4 ,16.8, 47.6,N/A , 1 , 32,3,*,*,*,*
"Hot Spring County, Arkansas(6)",05059,28.3 ,18.3, 41.9,N/A , 1 , 18,6,*,*,*,*
"Jasper County, Texas(7)",48241,27.3 ,18.4, 39.3,N/A , 1 , 69,7,stable,3.7 ,-0.9, 8.5
"Hardee County, Florida(6)",12049,27.3 ,15.7, 43.9,N/A , 1 , 32,4,*,*,*,*
"Mingo County, West Virginia(6)",54059,27.1 ,16.6, 42.3,N/A , 1 , 22,4,*,*,*,*
"Cleburne County, Arkansas(6)",05023,27 ,15.4, 44,N/A , 1 , 25,4,*,*,*,*
"Richland Parish, Louisiana(7)",22083,26.9 ,15.4, 44,N/A , 1 , 37,4,*,*,*,*
"Union Parish, Louisiana(7)",22111,26.6 ,14.3, 44.9,N/A , 1 , 38,3,*,*,*,*
"Crawford County, Illinois(7)",17033,26.3 ,14.5, 44.5,N/A , 1 , 49,3,*,*,*,*
"Meade County, Kentucky(7)",21163,26.3 ,16.3, 40.6,N/A , 1 , 30,4,*,*,*,*
"Warren County, North Carolina(6)",37185,26 ,13.4, 45.6,N/A , 1 , 67,3,*,*,*,*
"Scott County, Missouri(6)",29201,25.8 ,17, 37.6,N/A , 1 , 25,6,stable,-12.6 ,-26.3, 3.8
"Macoupin County, Illinois(7)",17117,25.7 ,18.1, 35.7,N/A , 1 , 29,9,rising,5.4 ,1.4, 9.7
"Allen Parish, Louisiana(7)",22003,25.5 ,14.6, 41.6,N/A , 1 , 38,4,*,*,*,*
"Jackson County, Ohio(6)",39079,25.3 ,15.6, 38.7,N/A , 1 , 59,5,*,*,*,*
"Pike County, Ohio(6)",39131,25.2 ,15.6, 38.9,N/A , 1 , 62,5,*,*,*,*
"Paulding County, Ohio(6)",39125,25.2 ,14.1, 42.2,N/A , 1 , 65,3,*,*,*,*
"Craighead County, Arkansas(6)",05031,25.2 ,19.6, 31.8,N/A , 1 , 14,15,rising,6.3 ,2.8, 9.9
