Incidence Rate Report for United States by County

"Leukemia (All Stages^), 2015-2019"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

State, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,11 ,10.9, 11,N/A , N/A , N/A,21692,falling,-2.6 ,-3.7, -1.5
"George County, Mississippi(6)",28039,28.9 ,17.2, 45.7,N/A , 1 , 5,4,*,*,*,*
"Douglas County, Illinois(7)",17041,27.3 ,16.2, 44.1,N/A , 1 , 18,4,*,*,*,*
"Plumas County, California(7)",06063,26.5 ,14, 46.3,N/A , 1 , 36,4,*,*,*,*
"Letcher County, Kentucky(7)",21133,24.2 ,13.5, 40.3,N/A , 1 , 29,3,*,*,*,*
"Grant County, Kentucky(7)",21081,22.8 ,12.9, 37.6,N/A , 1 , 29,3,*,*,*,*
"Bradford County, Florida(6)",12007,22.3 ,12.6, 36.7,N/A , 1 , 47,4,stable,2.1 ,-3.4, 7.8
"Oneida County, Wisconsin(6)",55085,22.2 ,13.5, 34.5,N/A , 1 , 33,6,rising,4.4 ,0.4, 8.6
"Mason County, West Virginia(6)",54053,22.1 ,13.9, 34.2,N/A , 1 , 13,5,*,*,*,*
"Jasper County, South Carolina(6)",45053,21.9 ,12.3, 36,N/A , 1 , 19,4,*,*,*,*
"Haywood County, North Carolina(6)",37087,21.5 ,15.7, 29,N/A , 1 , 17,11,rising,7.4 ,2.9, 12.1
"Morton County, North Dakota(6)",38059,21 ,12.6, 33.1,N/A , 1 , 4,4,stable,3.6 ,-2.5, 10.0
"Jessamine County, Kentucky(7)",21113,20.9 ,14.1, 29.9,N/A , 1 , 24,6,rising,5.1 ,1.4, 9.1
"Lewis County, New York(7)",36049,20.9 ,11.9, 34.3,N/A , 1 , 56,4,*,*,*,*
"Benton County, Iowa(7)",19011,20.8 ,12, 34.1,N/A , 1 , 15,4,*,*,*,*
"Yates County, New York(7)",36123,20.1 ,11, 34.1,N/A , 1 , 56,3,*,*,*,*
"Fayette County, Tennessee(6)",47047,20.1 ,12.5, 30.8,N/A , 1 , 27,5,stable,-1.0 ,-8.0, 6.6
"Bay County, Florida(6)",12005,19.9 ,16.2, 24.1,N/A , 1 , 25,23,stable,5.2 ,-0.2, 10.9
"Murray County, Georgia(7)",13213,19.8 ,12.4, 30.1,N/A , 1 , 45,5,stable,2.3 ,-2.2, 7.0
"Wood County, Wisconsin(6)",55141,19.5 ,13.8, 26.9,N/A , 1 , 29,9,stable,2.0 ,-1.6, 5.8
"Shelby County, Indiana(6)",18145,19.4 ,13, 28.3,N/A , 1 , 19,6,*,*,*,*
"Boone County, Iowa(7)",19015,19.4 ,11.4, 31.7,N/A , 1 , 16,4,*,*,*,*
"Hood County, Texas(7)",48221,19.4 ,13.9, 26.6,N/A , 1 , 43,10,rising,4.6 ,1.1, 8.3
"Lincoln County, Kentucky(7)",21137,19.3 ,10.7, 32.5,N/A , 1 , 31,3,*,*,*,*
"Brevard County, Florida(6)",12009,19.2 ,17.3, 21.3,N/A , 1 , 13,90,rising,3.4 ,1.6, 5.3
"Raleigh County, West Virginia(6)",54081,19.2 ,13.9, 25.9,N/A , 1 , 11,10,stable,2.7 ,-0.4, 5.9
"Pickens County, Georgia(7)",13227,19.1 ,11.2, 30.8,N/A , 1 , 49,4,*,*,*,*
"Codington County, South Dakota(6)",46029,19 ,10.6, 31.6,N/A , 1 , 4,3,*,*,*,*
"Barren County, Kentucky(7)",21009,19 ,12.7, 27.6,N/A , 1 , 27,6,rising,3.8 ,0.4, 7.2
"Fayette County, West Virginia(6)",54019,19 ,12, 28.7,N/A , 1 , 14,5,stable,3.3 ,-2.0, 9.0
"Oconto County, Wisconsin(6)",55083,18.8 ,11.6, 29.3,N/A , 1 , 36,5,*,*,*,*
"Sumter County, Florida(6)",12119,18.7 ,13, 26.3,N/A , 1 , 44,26,stable,3.3 ,-0.6, 7.4
"Park County, Wyoming(6)",56029,18.4 ,11.1, 29.4,N/A , 1 , 3,4,*,*,*,*
"Twin Falls County, Idaho(7)",16083,18.4 ,13.3, 24.7,N/A , 1 , 6,9,stable,1.7 ,-1.1, 4.6
"Haralson County, Georgia(7)",13143,18.3 ,10.3, 30.3,N/A , 1 , 50,3,*,*,*,*
"Laurel County, Kentucky(7)",21125,18.3 ,12.6, 25.8,N/A , 1 , 26,7,stable,1.6 ,-1.9, 5.1
"Grand Forks County, North Dakota(6)",38035,18.3 ,12.4, 26.1,N/A , 1 , 5,7,stable,0.3 ,-4.2, 4.9
"Jasper County, Iowa(7)",19099,18.1 ,11, 28.4,N/A , 1 , 16,4,*,*,*,*
