Incidence Rate Report for United States by County

"All Cancer Sites (All Stages^), 2015-2019"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

State, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,449.4 ,449.1, 449.7,N/A , N/A , N/A,1728431,stable,-0.9 ,-2.0, 0.2
"Union County, Florida(6)",12125,1204 ,1132.8, 1278.8,N/A , 1 , 1,230,stable,0.4 ,-0.4, 1.3
"Palo Alto County, Iowa(7)",19147,659.2 ,592.9, 731.4,N/A , 1 , 11,83,stable,0.6 ,-0.2, 1.4
"Blaine County, Nebraska(6)",31009,636.7 ,387.2, 1010.5,N/A , 1 , 88,5,stable,3.2 ,-0.3, 6.9
"Floyd County, Kentucky(7)",21071,620.5 ,587.9, 654.6,N/A , 1 , 22,294,stable,0.1 ,-0.4, 0.6
"Powell County, Kentucky(7)",21197,618.7 ,561.2, 680.7,N/A , 1 , 59,91,stable,0.7 ,-0.4, 1.9
"Polk County, Texas(7)",48373,616 ,587.6, 645.6,N/A , 1 , 4,408,rising,2.0 ,0.9, 3.1
"Prairie County, Montana(6)",30079,616 ,446.3, 838,N/A , 1 , 51,12,stable,-0.3 ,-2.8, 2.3
"Logan County, Nebraska(6)",31113,611.2 ,400.5, 899.1,N/A , 1 , 87,6,*,*,*,*
"Treasure County, Montana(6)",30103,605.9 ,382.1, 925.6,N/A , 1 , 56,7,stable,-1.1 ,-4.7, 2.6
"Pickens County, Georgia(7)",13227,599.1 ,566.1, 633.7,N/A , 1 , 8,280,rising,1.0 ,0.3, 1.8
"Hitchcock County, Nebraska(6)",31087,598.7 ,491.7, 724.8,N/A , 1 , 61,27,stable,0.6 ,-1.8, 3.0
"Bracken County, Kentucky(7)",21023,597.4 ,531.5, 669.7,N/A , 1 , 94,64,stable,0.6 ,-1.0, 2.3
"Perry County, Kentucky(7)",21193,596.6 ,559.1, 636.2,N/A , 1 , 49,202,stable,0.5 ,-0.3, 1.3
"Monroe County, Kentucky(7)",21171,595.2 ,538.1, 657.2,N/A , 1 , 87,86,rising,2.3 ,1.3, 3.3
"Lawrence County, Arkansas(6)",05075,594.1 ,547.8, 643.5,N/A , 1 , 18,133,rising,4.5 ,2.1, 7.0
"Lowndes County, Alabama(6)",01085,593.4 ,533.9, 658.1,N/A , 1 , 9,80,stable,-1.3 ,-13.7, 12.8
"Musselshell County, Montana(6)",30065,592.1 ,507.7, 688.4,N/A , 1 , 28,46,rising,8.1 ,1.5, 15.0
"Mercer County, Kentucky(7)",21167,591.2 ,551.2, 633.5,N/A , 1 , 54,175,stable,0.7 ,0.0, 1.5
"Taylor County, Kentucky(7)",21217,590.8 ,552.2, 631.4,N/A , 1 , 57,190,rising,1.0 ,0.2, 1.8
"Logan County, West Virginia(6)",54045,590.6 ,558, 624.7,N/A , 1 , 7,272,stable,0.5 ,-0.3, 1.2
"Yukon-Koyukuk Census Area, Alaska(6)",02290,589.5 ,499.9, 690.7,N/A , 1 , 5,35,stable,0.9 ,-1.4, 3.3
"Grant County, Nebraska(6)",31075,586.5 ,355.8, 916.6,N/A , 1 , 89,5,stable,-1.7 ,-6.8, 3.8
"Scott County, Illinois(7)",17171,581.5 ,501.6, 671.8,N/A , 1 , 87,41,rising,1.4 ,0.4, 2.5
"Mingo County, West Virginia(6)",54059,580.7 ,542.1, 621.4,N/A , 1 , 11,187,stable,0.0 ,-1.0, 1.1
"Lawrence County, Kentucky(7)",21127,580.1 ,532.5, 631.1,N/A , 1 , 79,118,stable,0.7 ,0.0, 1.5
"Fleming County, Kentucky(7)",21069,580 ,530.8, 632.9,N/A , 1 , 82,110,stable,0.3 ,-0.6, 1.3
"East Carroll Parish, Louisiana(7)",22035,580 ,506.6, 661.3,N/A , 1 , 52,47,stable,0.9 ,-0.2, 2.0
"Lincoln County, Kentucky(7)",21137,578.7 ,541, 618.4,N/A , 1 , 63,187,rising,0.6 ,0.2, 1.0
"Lee County, Georgia(7)",13177,578.5 ,539.5, 619.6,N/A , 1 , 24,178,rising,1.3 ,0.5, 2.2
"Rosebud County, Montana(6)",30087,577.8 ,512.2, 649.7,N/A , 1 , 24,61,stable,0.7 ,-0.7, 2.0
"Knox County, Kentucky(7)",21121,575.4 ,541.6, 610.8,N/A , 1 , 66,228,stable,0.4 ,-0.2, 1.1
"Jefferson County, New York(7)",36045,573.7 ,553.9, 594,N/A , 1 , 9,664,stable,0.4 ,0.0, 0.8
"Carter County, Kentucky(7)",21043,573.7 ,538, 611.3,N/A , 1 , 63,206,stable,0.2 ,-0.3, 0.8
"Harlan County, Kentucky(7)",21095,572.9 ,536.7, 611,N/A , 1 , 69,204,stable,0.7 ,-0.1, 1.5
"Woodruff County, Arkansas(6)",05147,572.8 ,502.2, 651.3,N/A , 1 , 48,55,stable,1.5 ,0.0, 3.0
"Grant County, Kentucky(7)",21081,572.5 ,532, 615.3,N/A , 1 , 74,157,stable,0.6 ,0.0, 1.3
"Montgomery County, Iowa(7)",19137,571.8 ,515, 633.7,N/A , 1 , 62,84,rising,0.8 ,0.3, 1.3
"Foard County, Texas(7)",48155,571.6 ,398.4, 798.2,N/A , 1 , 242,10,rising,4.2 ,1.0, 7.5
"Cape May County, New Jersey(7)",34009,568.9 ,550.8, 587.6,N/A , 1 , 2,905,stable,-0.2 ,-0.5, 0.2
"Bath County, Kentucky(7)",21011,567.4 ,514.4, 624.5,N/A , 1 , 101,89,stable,0.4 ,-0.3, 1.1
"Nicholas County, Kentucky(7)",21181,566.5 ,497.9, 642.4,N/A , 1 , 115,52,stable,0.8 ,-0.7, 2.4
"Poinsett County, Arkansas(6)",05111,565.8 ,528.3, 605.4,N/A , 1 , 26,178,rising,1.0 ,0.2, 1.8
"Monroe County, Arkansas(6)",05095,565.4 ,499.3, 638.6,N/A , 1 , 51,61,stable,0.3 ,-1.0, 1.7
"Johnson County, Kentucky(7)",21115,565 ,526.2, 606.1,N/A , 2 , 82,169,stable,0.6 ,0.0, 1.2
"Greene County, Illinois(7)",17061,564.5 ,515.4, 617.4,N/A , 1 , 53,104,stable,0.0 ,-0.8, 0.8
"Cerro Gordo County, Iowa(7)",19033,564.5 ,537, 593.1,N/A , 1 , 26,359,stable,-4.4 ,-10.7, 2.3
"Golden Valley County, Montana(6)",30037,563.6 ,385.8, 810.4,N/A , 1 , 56,8,stable,0.1 ,-3.4, 3.7
"Lewis County, Kentucky(7)",21135,562.8 ,512.9, 616.7,N/A , 1 , 103,101,rising,0.9 ,0.1, 1.7
"Webster County, West Virginia(6)",54101,562.5 ,500.8, 630.5,N/A , 1 , 38,70,stable,1.0 ,-0.5, 2.6
"Kingsbury County, South Dakota(6)",46077,562.5 ,488.1, 646.8,N/A , 1 , 34,45,stable,0.8 ,-1.1, 2.8
"Pike County, Kentucky(7)",21195,562.5 ,538.6, 587.3,N/A , 5 , 57,451,stable,0.3 ,-0.1, 0.6
"Cass County, Iowa(7)",19029,561.8 ,512.3, 615.2,N/A , 1 , 59,110,rising,0.8 ,0.2, 1.4
"Tishomingo County, Mississippi(6)",28141,561.7 ,520.7, 605.5,N/A , 1 , 34,151,*,*,*,*
"Clay County, Kentucky(7)",21051,561.6 ,519.1, 606.8,N/A , 1 , 92,136,stable,-1.2 ,-2.8, 0.4
"Marion County, Illinois(7)",17121,560.5 ,530.7, 591.7,N/A , 1 , 33,289,stable,0.1 ,-0.3, 0.6
"Logan County, Illinois(7)",17107,560.2 ,526.2, 595.9,N/A , 1 , 35,214,stable,0.6 ,0.0, 1.2
"Christian County, Illinois(7)",17021,560 ,529, 592.6,N/A , 1 , 31,261,stable,-0.2 ,-0.6, 0.2
"Whitley County, Kentucky(7)",21235,559.7 ,527.6, 593.3,N/A , 3 , 73,240,stable,0.5 ,0.0, 1.0
"Crenshaw County, Alabama(6)",01041,559.3 ,510, 612.4,N/A , 1 , 16,104,rising,2.8 ,1.6, 4.1
"Niagara County, New York(7)",36063,558.7 ,546.1, 571.6,N/A , 1 , 10,1626,stable,0.2 ,-0.1, 0.4
"McCook County, South Dakota(6)",46087,558.6 ,481.1, 645.6,N/A , 1 , 36,41,stable,0.8 ,-0.6, 2.1
"McLean County, Kentucky(7)",21149,558 ,499.7, 621.9,N/A , 1 , 111,71,stable,0.6 ,-0.2, 1.4
"Morgan County, Illinois(7)",17137,557.3 ,526.6, 589.5,N/A , 1 , 35,265,rising,0.8 ,0.3, 1.3
"Montour County, Pennsylvania(6)",42093,557.3 ,515.4, 602,N/A , 1 , 19,147,stable,0.7 ,-0.2, 1.5
"Russell County, Kentucky(7)",21207,557.1 ,514.6, 602.6,N/A , 2 , 93,138,stable,0.5 ,-0.4, 1.4
"Lawrence County, Ohio(6)",39087,556.3 ,532.8, 580.7,N/A , 1 , 10,449,stable,0.3 ,-0.8, 1.4
"Cumberland County, Kentucky(7)",21057,555.9 ,487.3, 632.4,N/A , 1 , 116,54,stable,0.6 ,-0.7, 1.9
"Hart County, Kentucky(7)",21099,555.5 ,512.2, 601.7,N/A , 2 , 97,131,stable,0.8 ,-0.2, 1.8
"Marion County, Kentucky(7)",21155,555 ,511.8, 601,N/A , 2 , 97,130,rising,0.9 ,0.1, 1.7
"Breathitt County, Kentucky(7)",21025,555 ,503.8, 610.2,N/A , 1 , 108,94,stable,1.1 ,-0.1, 2.4
"Robertson County, Kentucky(7)",21201,554.1 ,432.9, 701.1,N/A , 1 , 120,17,stable,1.3 ,-1.1, 3.7
"Owsley County, Kentucky(7)",21189,554 ,469.8, 650,N/A , 1 , 119,34,stable,0.2 ,-1.5, 2.0
"Montgomery County, Missouri(6)",29139,553.8 ,501.7, 610.4,N/A , 1 , 40,91,stable,0.4 ,-0.5, 1.3
"Calhoun County, Iowa(7)",19025,553.3 ,495.8, 616.1,N/A , 1 , 80,79,rising,0.8 ,0.3, 1.4
"Randolph County, Arkansas(6)",05121,553.2 ,510.3, 599,N/A , 1 , 38,134,rising,1.5 ,0.2, 2.7
"Cortland County, New York(7)",36023,553.2 ,525.4, 582.2,N/A , 1 , 34,316,stable,0.3 ,-0.3, 0.8
"Pike County, Illinois(7)",17149,552.8 ,508.1, 600.7,N/A , 1 , 61,124,stable,0.9 ,0.0, 1.8
"Butler County, Kentucky(7)",21031,552.5 ,501.2, 608,N/A , 1 , 107,91,stable,0.5 ,-0.6, 1.5
"Yalobusha County, Mississippi(6)",28161,552.5 ,502.5, 606.6,N/A , 1 , 48,98,*,*,*,*
