FIPS,air_quality_annual_PM2p5,median_household_income,percent_diagnosed_diabetes,percent_EDU_less_col,percent_EDU_less_HS,percent_food_stamp,percent_high_BP,percent_high_chol,percent_obisity,percent_phys_inactivity,percent_poverty,percent_somker_status,unemployment_rate
2013,NaN,79000.0,9.9,83.4,13.4,2.6,34.1,31.2,27.2,21.5,15.1,18.5,2.3
2016,NaN,92000.0,9.3,83.0,8.2,1.4,30.3,30.3,25.4,20.0,8.1,16.7,3.6
2020,6.4,85000.0,8.3,63.4,6.0,9.7,28.8,29.4,29.8,17.9,8.3,15.7,5.8
2050,NaN,52000.0,8.8,88.7,16.5,37.7,36.2,28.7,23.8,22.0,25.3,34.0,13.1
2060,NaN,87000.0,9.2,74.2,6.2,6.5,33.6,32.3,24.6,20.9,10.7,17.8,5.6
2068,NaN,80000.0,6.7,60.9,2.3,3.5,30.9,30.9,20.6,16.7,6.4,17.4,10.1
2070,NaN,72000.0,8.6,80.6,13.5,20.5,35.1,29.3,23.5,22.6,18.7,28.4,8.2
2090,13.9,77000.0,8.0,67.7,5.5,6.5,28.0,27.5,28.4,20.4,7.2,15.7,5.0
2100,NaN,105000.0,7.8,72.3,2.0,4.3,36.7,34.5,25.5,16.8,9.6,17.1,11.3
2105,NaN,56000.0,8.6,80.4,6.0,14.4,40.9,35.8,22.2,19.8,12.7,20.5,9.3
2110,6.5,89000.0,6.7,61.2,3.8,8.3,29.7,31.3,26.0,14.1,8.1,14.8,4.7
2122,NaN,68000.0,8.3,74.2,7.0,9.3,35.9,34.0,25.2,20.4,10.6,18.5,7.3
2130,NaN,77000.0,8.4,74.5,6.1,13.2,33.7,31.4,30.9,19.9,8.3,16.8,7.4
2150,NaN,72000.0,8.7,70.2,10.4,5.0,28.9,30.0,31.2,23.7,7.5,16.4,6.4
2164,NaN,54000.0,9.1,76.9,11.8,14.3,37.5,31.7,23.1,21.9,17.6,25.1,8.9
2170,5.7,90000.0,7.6,78.1,6.4,10.3,32.1,31.9,31.4,21.4,8.7,18.8,6.8
2180,NaN,64000.0,9.2,83.0,14.0,32.3,33.8,28.8,37.1,21.3,18.8,30.3,9.7
2185,NaN,95000.0,9.1,84.9,11.3,9.6,32.3,29.6,30.4,22.6,11.1,24.8,6.3
2188,NaN,65000.0,10.0,85.0,15.5,31.3,34.9,28.8,25.5,25.7,18.5,31.6,11.5
2195,NaN,66000.0,8.2,74.5,10.8,8.4,33.9,34.8,21.1,21.0,7.4,17.1,7.0
2198,NaN,54000.0,10.0,82.8,8.7,12.2,39.6,35.0,25.3,17.5,15.9,23.7,8.0
2220,NaN,79000.0,7.6,65.8,4.8,4.5,32.2,31.1,25.5,20.2,7.4,15.4,4.5
2230,NaN,78000.0,7.1,75.8,11.5,1.1,31.0,30.8,24.3,18.2,3.8,18.3,14.2
2240,NaN,65000.0,7.7,78.8,8.9,11.3,33.3,33.5,28.7,19.1,11.7,18.7,6.6
2261,NaN,NaN,6.7,NaN,NaN,7.0,NaN,NaN,24.6,19.6,NaN,NaN,NaN
2158,NaN,38000.0,8.2,96.7,21.4,48.7,39.1,28.4,22.5,22.0,27.9,40.7,19.9
2275,NaN,65000.0,8.1,83.1,11.7,8.0,39.4,37.3,23.5,18.4,10.6,18.8,7.5
2282,NaN,68000.0,8.9,82.0,5.6,4.1,38.5,34.0,21.1,21.2,12.4,21.0,7.1
2290,NaN,43000.0,9.4,86.8,12.0,26.9,38.9,32.4,27.2,23.6,20.5,28.6,12.4
6001,8.7,114000.0,7.1,51.3,11.2,5.7,25.7,28.8,23.8,15.6,8.6,10.0,6.1
6005,9.0,68000.0,8.2,81.9,8.8,6.6,34.4,35.2,25.7,21.4,10.3,13.4,7.0
6007,7.6,55000.0,7.4,71.7,10.3,12.8,29.3,29.9,32.5,20.7,17.3,14.0,6.9
6009,8.0,66000.0,7.0,80.2,10.3,10.3,35.8,36.1,26.8,15.5,11.6,13.3,5.7
6011,6.6,59000.0,7.2,85.1,27.2,6.3,28.0,29.8,23.9,19.2,10.3,13.8,12.5
6013,8.1,106000.0,8.7,56.7,10.1,5.0,26.5,29.2,22.6,18.0,7.2,9.9,6.4
6015,5.8,47000.0,7.7,84.6,20.3,17.3,32.8,32.5,22.2,20.2,18.5,17.2,7.6
6017,8.3,88000.0,7.3,64.8,6.0,5.6,30.5,32.9,24.9,16.1,8.4,11.3,5.7
6021,7.6,58000.0,7.6,85.6,25.5,11.5,29.4,30.9,24.4,18.7,12.4,15.2,6.9
6023,6.1,56000.0,7.2,69.1,9.4,13.9,30.0,30.2,24.0,13.9,15.8,14.7,6.2
6031,15.6,60000.0,10.0,85.0,26.0,14.8,26.7,27.7,33.3,27.0,14.5,15.0,9.6
6033,3.0,52000.0,8.4,83.3,13.8,17.0,35.0,34.1,29.4,22.5,15.9,15.9,7.6
6035,7.0,64000.0,7.9,87.3,19.5,8.9,29.1,29.6,22.9,21.9,15.5,17.0,5.9
6041,6.4,128000.0,6.1,39.8,6.4,3.5,27.7,31.8,17.8,15.9,6.0,8.2,4.5
6043,9.1,57000.0,7.0,73.1,9.1,10.0,35.4,36.8,20.6,17.3,13.3,13.1,8.0
6045,6.4,53000.0,7.5,76.0,13.3,12.4,32.6,31.9,26.4,18.0,14.3,14.2,6.2
6047,12.0,59000.0,8.9,85.9,30.3,18.2,27.4,28.7,35.0,27.3,16.3,14.7,10.4
6049,5.6,47000.0,7.4,81.8,15.3,13.3,36.9,36.7,22.5,19.0,17.9,15.2,7.1
6053,6.7,85000.0,8.4,73.8,27.0,8.9,25.9,27.7,31.6,22.9,11.6,12.1,8.3
6055,8.6,92000.0,8.5,62.8,14.5,3.9,27.7,30.9,27.9,16.6,7.9,10.6,6.0
6057,6.3,74000.0,6.0,62.4,5.4,6.8,33.2,36.9,19.2,15.1,9.2,11.1,5.6
6061,7.2,101000.0,6.1,59.2,4.9,3.6,28.1,33.1,23.2,14.0,6.5,9.9,5.0
6063,14.0,58000.0,7.8,75.5,5.3,10.3,35.9,36.8,25.1,18.3,13.5,12.5,9.5
6067,8.7,73000.0,9.0,68.6,12.1,12.1,27.1,28.5,27.9,19.8,12.5,12.6,7.0
6069,4.3,91000.0,7.8,79.9,18.1,7.1,26.3,29.1,24.7,19.9,7.9,11.8,7.2
6075,7.6,122000.0,8.8,41.2,11.4,5.1,24.2,28.0,13.9,16.0,10.0,9.2,5.0
6077,14.1,71000.0,9.3,80.8,19.9,12.6,28.3,30.1,33.6,24.8,13.9,13.7,8.7
6079,8.2,79000.0,7.3,63.9,8.2,5.3,27.7,31.0,23.2,16.5,10.6,10.4,5.2
6081,8.3,132000.0,8.5,47.9,9.6,2.8,25.0,31.3,20.1,13.9,5.5,8.6,4.6
6083,7.1,86000.0,7.5,65.0,18.2,8.1,24.7,28.2,24.0,19.4,10.5,10.7,5.8
6085,9.1,139000.0,8.6,46.5,11.3,3.9,23.1,26.9,22.0,17.4,6.6,8.4,4.7
6087,5.3,93000.0,7.3,58.2,11.7,8.6,25.7,29.0,25.3,15.5,10.7,10.5,6.9
6089,5.0,59000.0,7.0,77.9,8.9,12.0,31.4,32.9,24.2,15.7,13.9,14.6,6.8
6091,6.5,59000.0,7.3,80.6,7.5,7.4,38.4,39.2,22.0,19.2,11.5,12.9,6.0
6093,4.9,49000.0,7.6,77.9,10.1,13.8,34.9,35.9,27.9,19.7,14.3,14.7,8.1
6095,9.0,84000.0,7.9,72.9,11.3,8.0,27.8,29.5,31.1,23.3,9.3,11.6,7.5
6097,4.6,87000.0,6.5,63.6,10.9,5.3,28.0,29.8,26.3,14.9,7.8,11.4,5.5
6099,12.6,65000.0,10.2,82.3,20.2,13.4,28.5,30.5,29.9,25.4,13.0,14.2,8.4
6101,8.1,66000.0,9.0,80.0,20.2,11.4,29.1,31.1,26.3,27.5,11.5,13.9,9.0
6103,4.7,62000.0,8.4,82.6,14.1,13.4,34.1,32.8,32.8,23.9,13.3,15.7,7.2
6105,5.4,45000.0,7.1,80.8,7.0,12.6,38.8,38.1,21.7,19.3,18.0,16.2,6.3
