FIPS,State,Total Population,Pediatric Asthma,Adult Asthma,COPD,Adult Chronic Lung Disease,Lung Cancer
1001,"Autauga County, Alabama",56145,1718,3906,4274,8657,35
1003,"Baldwin County, Alabama",229287,6393,16246,19461,36546,143
1005,"Barbour County, Alabama",24589,664,1760,2001,3855,16
1007,"Bibb County, Alabama",22136,584,1603,1754,3433,14
1009,"Blount County, Alabama",57879,1742,4028,4638,9075,36
1011,"Bullock County, Alabama",9976,274,714,781,1544,6
1013,"Butler County, Alabama",19504,568,1365,1610,3085,12
1015,"Calhoun County, Alabama",113469,3205,8050,9006,17671,71
1017,"Chambers County, Alabama",32865,890,2351,2759,5210,20
1019,"Cherokee County, Alabama",26294,642,1920,2405,4283,16
1021,"Chilton County, Alabama",44397,1392,3058,3442,6898,28
1023,"Choctaw County, Alabama",12418,323,893,1112,2012,8
1025,"Clarke County, Alabama",23291,654,1649,1948,3694,14
1027,"Clay County, Alabama",13112,352,939,1126,2095,8
1029,"Cleburne County, Alabama",14967,451,1039,1233,2370,9
1031,"Coffee County, Alabama",53230,1646,3682,4107,8251,33
1033,"Colbert County, Alabama",55411,1531,3942,4600,8758,34
1035,"Conecuh County, Alabama",11851,319,845,1047,1914,7
1037,"Coosa County, Alabama",10650,228,800,1015,1753,7
1039,"Covington County, Alabama",36930,1067,2588,3123,5890,23
1041,"Crenshaw County, Alabama",13681,407,954,1117,2158,9
1043,"Cullman County, Alabama",84515,2481,5925,6775,13235,53
1045,"Dale County, Alabama",48959,1475,3412,3762,7567,31
1047,"Dallas County, Alabama",36098,1108,2495,2904,5674,22
1049,"DeKalb County, Alabama",71658,2266,4919,5579,11156,45
1051,"Elmore County, Alabama",82158,2382,5808,6329,12680,51
1053,"Escambia County, Alabama",36281,1068,2543,2871,5657,23
1055,"Etowah County, Alabama",102371,2885,7256,8379,16114,64
1057,"Fayette County, Alabama",16241,453,1150,1380,2590,10
1059,"Franklin County, Alabama",31507,1028,2143,2397,4876,20
1061,"Geneva County, Alabama",26411,755,1859,2224,4203,16
1063,"Greene County, Alabama",7990,226,561,692,1284,5
1065,"Hale County, Alabama",14670,451,1012,1181,2307,9
1067,"Henry County, Alabama",17223,463,1228,1503,2769,11
1069,"Houston County, Alabama",106580,3208,7420,8422,16631,66
1071,"Jackson County, Alabama",51582,1400,3685,4390,8218,32
1073,"Jefferson County, Alabama",655342,19656,45818,49372,100588,406
1075,"Lamar County, Alabama",13764,389,970,1180,2204,9
1077,"Lauderdale County, Alabama",93368,2399,6765,7757,14709,58
1079,"Lawrence County, Alabama",32857,935,2325,2718,5194,21
1081,"Lee County, Alabama",166831,4603,12016,11587,24818,104
1083,"Limestone County, Alabama",102228,2974,7228,7902,15798,64
1085,"Lowndes County, Alabama",9641,279,677,795,1524,6
1087,"Macon County, Alabama",17895,412,1329,1486,2805,11
1089,"Madison County, Alabama",379453,10808,26992,28973,58330,237
1091,"Marengo County, Alabama",18733,547,1312,1541,2960,12
1093,"Marion County, Alabama",29703,811,2117,2541,4743,19
1095,"Marshall County, Alabama",96990,3215,6559,7408,15045,61
1097,"Mobile County, Alabama",412716,12652,28647,31356,63607,256
1099,"Monroe County, Alabama",20459,559,1457,1751,3268,13
1101,"Montgomery County, Alabama",224639,6949,15575,16579,34306,139
1103,"Morgan County, Alabama",119883,3616,8349,9516,18737,75
1105,"Perry County, Alabama",8687,233,622,706,1361,5
1107,"Pickens County, Alabama",19793,500,1443,1649,3118,12
1109,"Pike County, Alabama",32966,829,2420,2395,4953,20
1111,"Randolph County, Alabama",22920,632,1630,1958,3659,14
1113,"Russell County, Alabama",58237,1842,4017,4271,8886,36
1117,"Shelby County, Alabama",221428,6691,15461,17029,34234,138
1115,"St. Clair County, Alabama",90739,2669,6375,7164,14135,57
1119,"Sumter County, Alabama",12225,312,889,977,1899,8
1121,"Talladega County, Alabama",79985,2184,5725,6507,12542,50
1123,"Tallapoosa County, Alabama",40133,1076,2869,3516,6459,25
1125,"Tuscaloosa County, Alabama",210758,5803,15158,14913,31539,131
1127,"Walker County, Alabama",63143,1842,4427,5186,9970,39
1129,"Washington County, Alabama",15976,447,1133,1344,2538,10
1131,"Wilcox County, Alabama",10206,306,708,830,1609,6
1133,"Winston County, Alabama",23508,620,1688,2064,3784,15
2013,"Aleutians East Borough, Alaska",3401,18,276,141,382,2
2016,"Aleutians West Census Area, Alaska",5680,51,434,209,616,3
2050,"Bethel Census Area, Alaska",18437,487,1063,497,1865,9
2060,"Bristol Bay Borough, Alaska",788,12,57,34,90,0
2070,"Dillingham Census Area, Alaska",4833,114,296,149,504,2
2100,"Haines Borough, Alaska",2614,34,195,125,309,1
2122,"Kenai Peninsula Borough, Alaska",59414,987,4158,2463,6735,29
2130,"Ketchikan Gateway Borough, Alaska",13747,14,90,47,133,1
2150,"Kodiak Island Borough, Alaska",12992,215,975,550,1544,7
2164,"Lake and Peninsula Borough, Alaska",1493,258,435,195,816,4
2170,"Matanuska-Susitna Borough, Alaska",110213,32,94,49,158,1
2180,"Nome Census Area, Alaska",9909,2153,7259,3844,11868,53
2185,"North Slope Borough, Alaska",9294,252,583,273,1009,5
2188,"Northwest Arctic Borough, Alaska",7644,192,589,284,960,5
2240,"Southeast Fairbanks Census Area, Alaska",6957,133,464,261,765,3
2282,"Yakutat City and Borough, Alaska",637,10,45,27,73,0
2290,"Yukon-Koyukuk Census Area, Alaska",5077,106,330,188,557,2
4001,"Apache County, Arizona",71875,1536,5140,3174,8747,30
4003,"Cochise County, Arizona",127450,2154,9755,6666,16367,53
4005,"Coconino County, Arizona",142481,2288,11108,5950,17204,59
4007,"Gila County, Arizona",54303,845,4232,3262,7295,22
4009,"Graham County, Arizona",39211,839,2803,1590,4669,16
4011,"Greenlee County, Arizona",9341,202,666,378,1111,4
4012,"La Paz County, Arizona",21480,270,1736,1504,3056,9
4013,"Maricopa County, Arizona",4579081,85248,342822,203645,560166,1889
4015,"Mohave County, Arizona",217206,2863,17539,13700,29737,90
4017,"Navajo County, Arizona",112112,2321,8092,5307,13919,46
4019,"Pima County, Arizona",1061175,17313,82112,52480,134127,438
4021,"Pinal County, Arizona",480828,8480,36422,23957,60813,199
4023,"Santa Cruz County, Arizona",46808,995,3347,2177,5779,19
4025,"Yavapai County, Arizona",240226,3019,19558,15620,33257,99
4027,"Yuma County, Arizona",217824,4352,15876,10019,26869,90
6001,"Alameda County, California",1662323,22856,124778,70046,197101,620
6003,"Alpine County, California",1119,14,86,63,145,0
6005,"Amador County, California",40083,412,3207,2421,5351,15
6007,"Butte County, California",212744,2930,15926,9726,25729,79
6009,"Calaveras County, California",46308,534,3629,2838,6197,17
6011,"Colusa County, California",21558,397,1480,879,2499,8
6013,"Contra Costa County, California",1152333,17468,84451,51425,138454,430
6015,"Del Norte County, California",27968,395,2086,1322,3420,11
6017,"El Dorado County, California",192925,2581,14636,10277,24565,72
6019,"Fresno County, California",1000918,19174,67574,36996,112796,374
6021,"Glenn County, California",28283,515,1950,1199,3314,11
6023,"Humboldt County, California",134977,1735,10281,6368,16522,50
6025,"Imperial County, California",180267,3507,12094,6800,20393,67
6027,"Inyo County, California",18046,253,1349,973,2297,7
6029,"Kern County, California",901362,17630,60364,31826,100366,337
6031,"Kings County, California",152692,2798,10470,5278,16963,58
6033,"Lake County, California",64479,943,4772,3412,8152,24
6035,"Lassen County, California",30016,367,2312,1322,3612,11
6037,"Los Angeles County, California",9943046,143253,737556,414388,1173571,3709
6039,"Madera County, California",157761,2940,10774,6252,18132,59
6041,"Marin County, California",257332,3416,19576,14042,33048,96
6043,"Mariposa County, California",17160,191,1352,1044,2290,6
6045,"Mendocino County, California",86061,1239,6387,4551,10872,32
6047,"Merced County, California",279252,5526,18609,9874,31076,104
6049,"Modoc County, California",8763,116,665,522,1155,3
6051,"Mono County, California",14534,172,1132,677,1784,5
6053,"Monterey County, California",430906,7602,30015,17209,49770,161
6055,"Napa County, California",135965,1842,10258,6719,16882,51
6057,"Nevada County, California",99606,1145,7800,6055,13279,37
6059,"Orange County, California",3166857,46541,233982,137580,378074,1181
6061,"Placer County, California",402950,6035,29623,19749,49729,150
6063,"Plumas County, California",18967,226,1475,1184,2549,7
6065,"Riverside County, California",2489188,41735,176509,102838,290986,930
6067,"Sacramento County, California",1559146,24744,112481,64346,182704,581
6069,"San Benito County, California",64055,1113,4492,2518,7385,24
6071,"San Bernardino County, California",2189183,38788,152317,81573,248573,817
6073,"San Diego County, California",3332427,48282,246524,138923,392817,1246
6075,"San Francisco County, California",866606,7955,70332,39484,106083,324
6077,"San Joaquin County, California",767967,13971,52942,29509,87745,287
6079,"San Luis Obispo County, California",282249,3357,21870,14227,35314,106
6081,"San Mateo County, California",758308,10309,57148,34426,91874,283
6083,"Santa Barbara County, California",444766,6713,32475,18788,52427,166
6085,"Santa Clara County, California",1907105,27719,141158,78874,224602,713
6087,"Santa Cruz County, California",269925,3448,20614,12516,32924,101
6089,"Shasta County, California",179027,2628,13218,8925,22199,67
6091,"Sierra County, California",2920,34,229,187,396,1
6093,"Siskiyou County, California",43245,596,3248,2472,5612,16
6095,"Solano County, California",446935,6663,32858,19819,53570,167
6097,"Sonoma County, California",489819,6409,37262,24750,61289,183
6099,"Stanislaus County, California",550081,10087,37802,21250,62891,205
6101,"Sutter County, California",96385,1677,6750,4069,11309,36
6103,"Tehama County, California",64494,1045,4630,3105,7886,24
6105,"Trinity County, California",12216,146,950,752,1635,5
6107,"Tulare County, California",468680,9674,30688,16485,51959,175
6109,"Tuolumne County, California",54515,626,4264,3187,7166,20
6111,"Ventura County, California",841387,12797,61559,37289,100821,314
6113,"Yolo County, California",219728,3084,16340,8546,25406,82
6115,"Yuba County, California",80160,1499,5461,3021,9088,30
8001,"Adams County, Colorado",519883,9921,37408,16014,58760,196
8003,"Alamosa County, Colorado",16180,290,1181,542,1865,6
8005,"Arapahoe County, Colorado",657452,11227,48661,22707,76229,248
8007,"Archuleta County, Colorado",14196,187,1086,702,1791,5
8009,"Baca County, Colorado",3555,57,260,162,437,1
8011,"Bent County, Colorado",5356,61,431,224,656,2
8013,"Boulder County, Colorado",327171,4465,25632,12094,38835,124
8014,"Broomfield County, Colorado",72236,1159,5432,2590,8459,27
8015,"Chaffee County, Colorado",20661,229,1644,997,2610,8
8017,"Cheyenne County, Colorado",1795,32,128,75,216,1
8019,"Clear Creek County, Colorado",9586,104,772,440,1196,4
8021,"Conejos County, Colorado",8143,151,576,325,966,3
8023,"Costilla County, Colorado",3921,56,294,188,490,1
8025,"Crowley County, Colorado",5696,51,484,212,687,2
8027,"Custer County, Colorado",5183,53,410,294,682,2
8029,"Delta County, Colorado",31067,452,2322,1493,3882,12
8031,"Denver County, Colorado",735538,10247,58011,23813,85366,278
8033,"Dolores County, Colorado",2096,30,158,100,261,1
8035,"Douglas County, Colorado",360750,6593,26098,12494,41609,136
8037,"Eagle County, Colorado",54929,870,4157,1928,6405,21
8041,"El Paso County, Colorado",728310,12747,53623,24352,83917,275
8039,"Elbert County, Colorado",27313,425,2044,1127,3281,10
8043,"Fremont County, Colorado",47867,573,3787,2137,5928,18
8045,"Garfield County, Colorado",60366,1124,4336,2088,6964,23
8047,"Gilpin County, Colorado",6235,66,506,279,772,2
8049,"Grand County, Colorado",15794,189,1256,673,1933,6
8051,"Gunnison County, Colorado",17593,212,1422,630,2087,7
8053,"Hinsdale County, Colorado",808,9,63,42,104,0
8055,"Huerfano County, Colorado",6883,82,531,372,891,3
8057,"Jackson County, Colorado",1389,18,107,66,173,1
8059,"Jefferson County, Colorado",583283,8300,44992,22668,69725,220
8061,"Kiowa County, Colorado",1458,26,103,64,176,1
8063,"Kit Carson County, Colorado",7121,136,499,282,842,3
8067,"La Plata County, Colorado",56564,768,4388,2331,6854,21
8065,"Lake County, Colorado",7987,122,610,282,935,3
8069,"Larimer County, Colorado",360428,5091,27972,13385,42798,136
8071,"Las Animas County, Colorado",14420,192,1108,670,1795,5
8073,"Lincoln County, Colorado",5680,85,433,219,677,2
8075,"Logan County, Colorado",21974,295,1716,870,2646,8
8077,"Mesa County, Colorado",155603,2424,11643,6334,18710,59
8079,"Mineral County, Colorado",773,8,61,41,100,0
8081,"Moffat County, Colorado",13144,245,938,483,1533,5
8083,"Montezuma County, Colorado",26408,415,1949,1177,3232,10
8085,"Montrose County, Colorado",43322,671,3205,1966,5329,16
8087,"Morgan County, Colorado",28941,556,2049,1023,3348,11
8089,"Otero County, Colorado",18201,319,1313,735,2172,7
8091,"Ouray County, Colorado",5001,54,395,266,646,2
8093,"Park County, Colorado",18955,212,1510,906,2380,7
8095,"Phillips County, Colorado",4367,82,306,183,523,2
8097,"Pitkin County, Colorado",17894,198,1440,793,2216,7
8099,"Prowers County, Colorado",12106,234,849,458,1418,5
8101,"Pueblo County, Colorado",169823,2804,12523,6720,20242,64
8103,"Rio Blanco County, Colorado",6342,114,458,235,743,2
8105,"Rio Grande County, Colorado",11296,185,830,474,1364,4
8107,"Routt County, Colorado",25560,331,2012,1026,3084,10
8109,"Saguache County, Colorado",6938,102,519,330,863,3
8111,"San Juan County, Colorado",748,7,61,37,96,0
8113,"San Miguel County, Colorado",8105,101,644,324,978,3
8115,"Sedgwick County, Colorado",2260,32,170,112,285,1
8117,"Summit County, Colorado",30631,363,2474,1154,3665,12
8119,"Teller County, Colorado",25529,317,1987,1223,3198,10
8121,"Washington County, Colorado",4875,81,357,203,587,2
8123,"Weld County, Colorado",333983,6394,23893,10807,38052,126
8125,"Yuma County, Colorado",10047,206,689,378,1171,4
9001,"Fairfield County, Connecticut",942426,24385,78978,38413,128923,503
9003,"Hartford County, Connecticut",889226,21698,75661,36703,121966,474
9005,"Litchfield County, Connecticut",179610,3720,15646,8701,25200,96
9007,"Middlesex County, Connecticut",161657,3217,14266,7620,22594,86
9009,"New Haven County, Connecticut",851948,19989,73179,35649,117084,454
9011,"New London County, Connecticut",264999,5970,22918,11468,36592,142
9013,"Tolland County, Connecticut",150600,3005,13522,6093,20620,81
9015,"Windham County, Connecticut",116540,2672,10071,4918,16026,62
10001,"Kent County, Delaware",183643,3114,15542,8552,24215,106
10003,"New Castle County, Delaware",561531,8882,48620,25956,74295,325
10005,"Sussex County, Delaware",241635,3254,21242,14917,34453,140
13001,"Appling County, Georgia",18325,437,1252,1003,2327,11
13003,"Atkinson County, Georgia",8393,213,557,413,1032,5
13005,"Bacon County, Georgia",11036,270,745,584,1388,6
13007,"Baker County, Georgia",2971,54,221,195,400,2
13009,"Baldwin County, Georgia",45099,806,3305,2443,5662,26
13011,"Banks County, Georgia",19352,401,1377,1100,2478,11
13013,"Barrow County, Georgia",85588,2137,5694,4103,10431,49
13015,"Bartow County, Georgia",109426,2511,7511,5661,13616,63
13017,"Ben Hill County, Georgia",16614,396,1134,908,2109,10
13019,"Berrien County, Georgia",19408,448,1338,1065,2464,11
13021,"Bibb County, Georgia",152737,3580,10432,7904,19036,87
13023,"Bleckley County, Georgia",12955,250,935,714,1639,7
13025,"Brantley County, Georgia",19202,433,1333,1063,2443,11
13027,"Brooks County, Georgia",15357,321,1094,912,1997,9
13029,"Bryan County, Georgia",40755,1171,2561,1765,4848,24
13031,"Bulloch County, Georgia",80839,1563,5750,3738,9672,47
13033,"Burke County, Georgia",22648,560,1525,1203,2851,13
13035,"Butts County, Georgia",25426,505,1818,1364,3189,15
13037,"Calhoun County, Georgia",6231,102,465,345,786,4
13039,"Camden County, Georgia",55388,1298,3766,2711,6783,32
13043,"Candler County, Georgia",10985,270,744,605,1400,6
13045,"Carroll County, Georgia",121633,2780,8335,6033,14940,70
13047,"Catoosa County, Georgia",67996,1479,4774,3824,8689,39
13049,"Charlton County, Georgia",13430,235,988,731,1687,8
13051,"Chatham County, Georgia",289463,5859,20582,15237,36116,166
13053,"Chattahoochee County, Georgia",10551,232,711,334,1149,6
13055,"Chattooga County, Georgia",24843,539,1745,1389,3168,14
13057,"Cherokee County, Georgia",265274,6089,18238,13985,33211,153
13059,"Clarke County, Georgia",127795,2113,9392,5870,15204,73
13061,"Clay County, Georgia",2866,56,210,189,387,2
13063,"Clayton County, Georgia",292646,7811,18907,12893,34863,167
13065,"Clinch County, Georgia",6582,159,446,349,827,4
13067,"Cobb County, Georgia",762944,17034,52602,38007,93716,439
13069,"Coffee County, Georgia",43218,1021,2935,2153,5321,25
13071,"Colquitt County, Georgia",45542,1128,3058,2346,5678,26
13073,"Columbia County, Georgia",160377,3928,10769,7973,19756,92
13075,"Cook County, Georgia",17291,424,1167,914,2173,10
13077,"Coweta County, Georgia",150849,3464,10362,7896,18840,87
13079,"Crawford County, Georgia",12231,240,886,737,1596,7
13081,"Crisp County, Georgia",22034,507,1526,1252,2832,13
13083,"Dade County, Georgia",16057,299,1175,947,2078,9
13085,"Dawson County, Georgia",27113,529,1966,1619,3527,16
13087,"Decatur County, Georgia",26457,629,1805,1411,3331,15
13089,"DeKalb County, Georgia",762009,16926,52572,37441,93213,437
13091,"Dodge County, Georgia",20452,381,1495,1197,2638,12
13093,"Dooly County, Georgia",13174,208,1001,827,1736,8
13095,"Dougherty County, Georgia",86477,1970,5962,4530,10812,49
13097,"Douglas County, Georgia",147988,3666,9872,7168,18078,85
13099,"Early County, Georgia",10037,241,686,562,1285,6
